TIME,Alberni-Clayoquot,Bulkley-Nechako,Capital,Cariboo,CentralCoast,CentralKootenay,CentralOkanagan,Columbia-Shuswap,Comox-Strathcona,CowichanValley,EastKootenay,FraserValley,Fraser-FortGeorge,Kitimat-Stikine,KootenayBoundary,GreaterVancouver,MountWaddington,Nanaimo,NorthOkanagan,Okanagan-Similkameen,PeaceRiver,PowellRiver,Skeena-QueenCharlotte,Squamish-Lillooet,Stikine,SunshineCoast,Thompson-Nicola
2021-01-01 00:00:00,25.45983813077371,31.891503903990458,199.51371629199627,45.54816066771452,2.0344731546273622,79.04508586005318,160.55095440094738,55.03646332456367,66.43795070262715,65.47567493046513,48.978945137219505,288.6375766984654,80.13294135301791,35.39907350290123,58.71567276284468,1599.6296178178627,13.125923454414863,57.58816545161727,65.11999979306711,150.07212261535653,119.5731913451657,17.38572102185351,14.42566040200134,49.57259150950152,0.3543571934327674,20.834539868565223,126.84487879159478
2021-01-01 01:00:00,24.700054926201744,30.939784222571692,193.55974400270784,44.18889328758749,1.9737595505149292,76.68618914075999,155.7597252499499,53.39404202328678,64.45528141656352,63.52172228297949,47.51729484306737,280.02393265809843,77.74158039226685,34.3426794533097,56.96345494507188,1551.8927975399345,12.734214122488385,55.86959518155088,63.17666135272178,145.59360717264474,116.00483784525419,16.866889018133435,13.995163773075348,48.09322537046466,0.3437823169309389,20.212786761345455,123.05952053453142
2021-01-01 02:00:00,24.25270593659395,30.379425905474662,190.05413415013618,43.388576979662226,1.9380122882805062,75.29730602566214,152.93872117039066,52.4270089206658,63.287915388320464,62.371264182123454,46.65669700632358,274.95234784928425,76.3335828172452,33.72069043345674,55.93177529535518,1523.786071581902,12.50358152518588,54.85772670478281,62.03245273831284,142.95672424843124,113.9038446630633,16.561408492578625,13.741693795296493,47.22219670916258,0.3375559877756567,19.84670782905718,120.83075819626048
2021-01-01 03:00:00,24.163946216433676,30.268243699701443,189.3585766397053,43.22978406142309,1.930919577519708,75.02173397901574,152.37899813873207,52.23513727332037,63.056295144621444,62.14299868592186,46.48594346728712,273.9460810221385,76.05421821902662,33.59727991364464,55.727076952157425,1518.2093402410223,12.457821089213159,54.65695914986852,61.80542721958092,142.43353319203968,113.48698093643812,16.500797277190767,13.691402133038784,47.049373562078834,0.33632060500675154,19.774073120269822,120.38854344660353
2021-01-01 04:00:00,24.32371371272217,30.468371670093237,190.61058015848087,43.51561131425354,1.943686456889145,75.51776366297926,153.38649959571754,52.58050623854214,63.47321158327968,62.55387657908473,46.79329983755276,275.75736131100075,76.55707449582006,33.819418849306416,56.09553396991339,1528.2474566546055,12.540189873964055,55.01834074871425,62.21407315329839,143.3752770935445,114.23733564436344,16.609897464888913,13.78192712510266,47.36045522682958,0.33854429399078084,19.904815596087065,121.18452999598603
2021-01-01 05:00:00,24.778163479942787,31.037624563652127,194.17183461188705,44.328631055637935,1.9800011359844318,76.92869254180881,156.25228151780945,53.56288907295075,64.65910723101867,63.722595919636895,47.667557957419454,280.90944746598666,77.98742123869921,34.451280710744335,57.143589487085904,1556.8003211199082,12.77448330614438,56.04627062987546,63.376443809205874,146.0540153022693,116.37167792468433,16.92022688767475,14.039420435862132,48.24530973989836,0.34486945376757544,20.27670530507833,123.44866951422952
2021-01-01 06:00:00,25.569900183772454,32.029369839149254,200.37620760493058,45.745063886331046,2.043268115970752,79.38679519789471,161.245010960204,55.27438416727201,66.72515980481393,65.75872414575511,49.190679525624724,289.88534756412605,80.47935345480896,35.55210254746822,58.96949870840991,1606.544764680553,13.182666395021037,57.837117219711,65.40151143629471,150.72087952528207,120.09010236618091,17.460878928934456,14.488022063200898,49.786892211885366,0.35588906806620985,20.924606907461545,127.39322508116936
2021-01-01 07:00:00,26.528505161503443,33.230137661500024,207.88822871758418,47.46002740331374,2.119869392187373,82.36297330167582,167.29001970211667,57.34659795860267,69.22665843676336,68.22399150473231,51.03481774721854,300.75302929729935,83.49649111556963,36.884936161438844,61.180240814945684,1666.7734631620513,13.676879103526408,60.00540681278542,67.85338703859955,156.37134293431097,124.59223061373282,18.115480055123335,15.03117201558416,51.653382200389814,0.369231201970386,21.709061762364993,132.16914437746425
2021-01-01 08:00:00,27.483559750428014,34.42645819561987,215.37242752982056,49.168639203566876,2.1961869599735615,85.32812852359108,173.312639522763,59.411136884039514,71.71889225896481,70.68012824386147,52.8721258272509,311.5804603573868,86.50245419240156,38.21283335461698,63.38279498775355,1726.7790923899142,14.16926139459287,62.165665703663265,70.29618162015514,162.00087870108422,129.07768431221973,18.767656732696697,15.572310301477112,53.51295926301092,0.38252392056380596,22.490611228916944,136.92737508377283
2021-01-01 09:00:00,28.285947620676918,35.43154533580979,221.6602674241158,50.604127184448686,2.2603050652511776,87.81929982527453,178.37253572895656,61.14565657604222,73.81273926200397,72.74364832952388,54.415737820140535,320.67711247478366,89.02791016029754,39.32846445371832,65.23326801026127,1777.1927437114643,14.582935735786254,63.980604400088524,72.34849230949179,166.73052585086396,132.84613240091133,19.315582119802944,16.026946928286804,55.07528051264797,0.39369178079470896,23.14722899635464,140.92499642067153
