,YEAR,SOURCE,Data Source ID,ORG_UNIT,ORG_NAME,ORG_PART,ENERGY_TYPE,ENERGY_UNIT,SUB_SECTOR,CONSUMPTION_TOTAL,CONNECTION_TOTAL,EMISSIONS NET IMPORTS (TCO2e),Unnamed: 12,ORG_TYPE
756,2021,BC Hydro,10080,1005931,Squamish-Lillooet,9000000,ELEC,kWh,Res,423126627.69098186,28415,4104.32761159992,2021ELECkWh,Regional District
759,2021,BC Hydro,10080,1005957,Stikine,9000000,ELEC,kWh,Res,3889958.99724095,461,37.73259604930281,2021ELECkWh,Regional District
761,2021,BC Hydro,10080,1005924,Strathcona,9000000,ELEC,kWh,Res,288982675.31139344,23052,2803.131488148236,2021ELECkWh,Regional District
764,2021,BC Hydro,10080,1005929,Sunshine Coast,9000000,ELEC,kWh,Res,264136084.7320645,18792,2562.11959928329,2021ELECkWh,Regional District
771,2021,BC Hydro,10080,1005933,Thompson-Nicola,9000000,ELEC,kWh,Res,678421448.199114,65498,6580.686962057088,2021ELECkWh,Regional District
790,2021,BC Hydro,10080,1005923,Alberni-Clayoquot,9000000,ELEC,kWh,CSMI,150930059.75945252,2631,1464.0213381785939,2021ELECkWh,Regional District
800,2021,BC Hydro,10080,1005951,Bulkley-Nechako,9000000,ELEC,kWh,CSMI,189058020.13839498,4070,1833.862492849599,2021ELECkWh,Regional District
807,2021,BC Hydro,10080,1005917,Capital,9000000,ELEC,kWh,CSMI,1182749747.5871165,18756,11472.670659195433,2021ELECkWh,Regional District
809,2021,BC Hydro,10080,1005941,Cariboo,9000000,ELEC,kWh,CSMI,270016901.7650538,6358,2619.163515093979,2021ELECkWh,Regional District
811,2021,BC Hydro,10080,1005945,Central Coast,9000000,ELEC,kWh,CSMI,12060687.630050464,321,116.98865071438928,2021ELECkWh,Regional District
813,2021,BC Hydro,10080,1005903,Central Kootenay,9000000,ELEC,kWh,CSMI,22531785.933937214,721,218.55828750833348,2021ELECkWh,Regional District
815,2021,BC Hydro,10080,1005935,Central Okanagan,9000000,ELEC,kWh,CSMI,228552229.71972254,3502,2216.956262597741,2021ELECkWh,Regional District
824,2021,BC Hydro,10080,1005939,Columbia-Shuswap,9000000,ELEC,kWh,CSMI,326265102.5453663,5368,3164.7709726658886,2021ELECkWh,Regional District
828,2021,BC Hydro,10080,1005926,Comox Valley,9000000,ELEC,kWh,CSMI,216705877.04940408,4362,2102.046660649816,2021ELECkWh,Regional District
832,2021,BC Hydro,10080,1005919,Cowichan Valley,9000000,ELEC,kWh,CSMI,388150446.1766691,6116,3765.0587068729765,2021ELECkWh,Regional District
839,2021,BC Hydro,10080,1005901,East Kootenay,9000000,ELEC,kWh,CSMI,290355149.8852689,5373,2816.444489318869,2021ELECkWh,Regional District
848,2021,BC Hydro,10080,1005909,Fraser Valley,9000000,ELEC,kWh,CSMI,1711090482.0430236,20164,16597.574938072557,2021ELECkWh,Regional District
850,2021,BC Hydro,10080,1005953,Fraser-Fort George,9000000,ELEC,kWh,CSMI,475041104.5423309,6048,4607.897953994842,2021ELECkWh,Regional District
868,2021,BC Hydro,10080,1005949,Kitimat-Stikine,9000000,ELEC,kWh,CSMI,209851462.9896341,3170,2035.5588552371098,2021ELECkWh,Regional District
888,2021,BC Hydro,10080,1005915,Metro-Vancouver,9000000,ELEC,kWh,CSMI,9251856377.961157,101227,89742.99206325301,2021ELECkWh,Regional District
891,2021,BC Hydro,10080,1005943,Mount Waddington,9000000,ELEC,kWh,CSMI,77812608.2812071,1184,754.7821758275356,2021ELECkWh,Regional District
894,2021,BC Hydro,10080,5921007,Nanaimo,1005921,ELEC,kWh,CSMI,341392007.6162595,4205,3311.501927650505,2021ELECkWh,Regional District
900,2021,BC Hydro,10080,1005937,North Okanagan,9000000,ELEC,kWh,CSMI,386041946.1356752,6943,3744.606259848935,2021ELECkWh,Regional District
909,2021,BC Hydro,10080,1005907,Okanagan-Similkameen,9000000,ELEC,kWh,CSMI,3767684.7116792123,92,36.54653567499282,2021ELECkWh,Regional District
913,2021,BC Hydro,10080,1005955,Peace River,9000000,ELEC,kWh,CSMI,708849318.784175,7211,6875.837258047588,2021ELECkWh,Regional District
927,2021,BC Hydro,10080,5927008,Powell River,1005927,ELEC,kWh,CSMI,39877480.12014584,924,386.8114933614465,2021ELECkWh,Regional District
928,2021,BC Hydro,10080,1005927,Powell River,9000000,ELEC,kWh,CSMI,63187900.70872186,1489,612.9225357739609,2021ELECkWh,Regional District
946,2021,BC Hydro,10080,1005947,Skeena-Queen Charlotte,9000000,ELEC,kWh,CSMI,85517660.22078256,1653,829.5211673133344,2021ELECkWh,Regional District
953,2021,BC Hydro,10080,1005931,Squamish-Lillooet,9000000,ELEC,kWh,CSMI,293874382.0965769,4027,2850.581036137785,2021ELECkWh,Regional District
956,2021,BC Hydro,10080,1005957,Stikine,9000000,ELEC,kWh,CSMI,2100687.0548934685,122,20.376661071367355,2021ELECkWh,Regional District
958,2021,BC Hydro,10080,1005924,Strathcona,9000000,ELEC,kWh,CSMI,177149096.35369453,3133,1718.3459511922827,2021ELECkWh,Regional District
961,2021,BC Hydro,10080,1005929,Sunshine Coast,9000000,ELEC,kWh,CSMI,123510539.66923565,2545,1198.0520371747223,2021ELECkWh,Regional District
968,2021,BC Hydro,10080,1005933,Thompson-Nicola,9000000,ELEC,kWh,CSMI,751957064.2146149,10576,7293.982319750461,2021ELECkWh,Regional District
987,2021,BC Hydro,10080,1005923,Alberni-Clayoquot,9000000,ELEC,kWh,MIXED,5777186.777150003,16,56.03870249485619,2021ELECkWh,Regional District
997,2021,BC Hydro,10080,1005951,Bulkley-Nechako,9000000,ELEC,kWh,MIXED,8751083.243544837,65,84.88549346065173,2021ELECkWh,Regional District
1004,2021,BC Hydro,10080,1005917,Capital,9000000,ELEC,kWh,MIXED,56179759.37429535,155,544.9435760430498,2021ELECkWh,Regional District
1006,2021,BC Hydro,10080,1005941,Cariboo,9000000,ELEC,kWh,MIXED,8357497.489451414,37,81.06771227568272,2021ELECkWh,Regional District
1008,2021,BC Hydro,10080,1005945,Central Coast,9000000,ELEC,kWh,MIXED,930618.2976867874,4,9.026995998572561,2021ELECkWh,Regional District
1010,2021,BC Hydro,10080,1005903,Central Kootenay,9000000,ELEC,kWh,MIXED,3028656.6081445683,54,29.377964253151738,2021ELECkWh,Regional District
1012,2021,BC Hydro,10080,1005935,Central Okanagan,9000000,ELEC,kWh,MIXED,5869589.39679194,29,56.93500775753878,2021ELECkWh,Regional District
1021,2021,BC Hydro,10080,1005939,Columbia-Shuswap,9000000,ELEC,kWh,MIXED,6807405.327796387,19,66.03182078777643,2021ELECkWh,Regional District
1025,2021,BC Hydro,10080,1005926,Comox Valley,9000000,ELEC,kWh,MIXED,19814107.812744472,44,192.19681408104887,2021ELECkWh,Regional District
1029,2021,BC Hydro,10080,1005919,Cowichan Valley,9000000,ELEC,kWh,MIXED,7554156.974765698,34,73.27531056857612,2021ELECkWh,Regional District
1036,2021,BC Hydro,10080,1005901,East Kootenay,9000000,ELEC,kWh,MIXED,12240928.557075078,54,118.73698741814256,2021ELECkWh,Regional District
1045,2021,BC Hydro,10080,1005909,Fraser Valley,9000000,ELEC,kWh,MIXED,24956749.887131084,22,242.0804339743717,2021ELECkWh,Regional District
