REGION,PROPORTION_RES,PROPORTION_CSMI
Alberni-Clayoquot,0.005231248946947403,0.00355038880641106
Bulkley-Nechako,0.005023109772813625,0.0044472882309288045
Capital,0.05262094661010756,0.02782230041723557
Cariboo,0.007863399391309544,0.006351716729565544
Central Coast,0.00045400543405925826,0.0002837084304319289
Central Kootenay,0.00905449700402515,0.011022881865855972
Central Okanagan,0.025207934032078945,0.022388921266343238
Columbia-Shuswap,0.009164730779077807,0.007674865893817274
Comox-Strathcona,0.017604520119198597,0.009264809747960834
Cowichan Valley,0.01366945152294377,0.009130619848063747
East Kootenay,0.00931776924877823,0.006830141561458584
Fraser Valley,0.03258089875436111,0.040250673085827
Fraser-Fort George,0.009566578227163997,0.01117458392874326
Kitimat-Stikine,0.005265764909119706,0.004936420792483786
Kootenay Boundary,0.004200919806091933,0.008187933727910289
GreaterVancouver,0.2173241509306748,0.22306925363517816
Mount Waddington,0.0017415333934542212,0.0018304174389087804
Nanaimo,0.011792582814737093,0.008030702196571924
North Okanagan,0.010642519080893925,0.009081020749277243
Okanagan-Similkameen,0.012024115893874645,0.020927642255662602
Peace River,0.0064370433004424955,0.01667454906500707
Powell River,0.004440212810981174,0.002424448615514365
Skeena-Queen Charlotte,0.002965729084354122,0.0020116664903083725
Squamish-Lillooet,0.009953378704300405,0.006912925883349815
Stikine,9.15050779361883e-05,4.941531075620798e-05
Sunshine Coast,0.0062133798932868505,0.002905388351494244
Thompson-Nicola,0.0159587819653299,0.017688589986277335
