,BC_ALH_RES,BC_ALU_RES,BC_BR1_RES,BC_GMS_RES,BC_LDR_RES,BC_MCA_RES,BC_REV_RES,BC_SCA_RES,BC_SEV_RES,BC_SON_RES,BC_WGS_RES,BC_JHT_RES,BC_PCN_RES,BC_RUS_RES,BC_SFL_RES,BC_STC_RES
2021-01-01 10:00:00,500352.6855000986,104847.6579319208,59780.075299649594,939453.8048700711,50756.423588331345,444293.7248775965,189277.1361717082,233771.4304559349,1740734.651616859,22071.007152939677,8038.115865074496,0.0,0.0,0.0,0.0,0.0
2021-01-01 11:00:00,489688.3205952091,103067.0042449113,59780.075299649594,939274.0167638258,52513.4510561718,444129.8296395559,188618.44114951883,248885.11135159674,1740991.4210972984,22060.90641590277,8035.356029606613,0.0,0.0,0.0,0.0,0.0
2021-01-01 12:00:00,489841.94497964135,100806.47861813103,59780.075299649594,939093.50600522,69208.57637962849,444154.1578753893,188483.0326998582,286404.87865624897,1740301.8235800744,22061.111397422883,8026.569861241083,0.0,0.0,0.0,0.0,0.0
2021-01-01 13:00:00,470545.32375882886,107814.31071728935,59780.075299649594,938565.6584668517,73052.3769543578,443699.9019905473,188375.00077557043,319672.8760576953,1741047.3419365794,22060.02339514769,8035.546603564961,0.0,0.0,0.0,0.0,0.0
2021-01-01 14:00:00,470891.9235109416,108774.6109836684,59780.075299649594,939027.2156335192,85365.08271935442,439429.5525888535,188456.83705468097,340870.38350370346,1738500.3126193208,22030.28368973506,8034.792166473824,0.0,0.0,0.0,0.0,0.0
2021-01-01 15:00:00,470874.7288251156,116920.736072393,59736.23605306257,938921.3702507012,79874.0375479166,438358.45528681314,187711.04783860597,398006.4379749387,1738287.9976852231,22020.617310658752,8033.4091855927745,0.0,0.0,0.0,0.0,0.0
2021-01-01 16:00:00,453230.6879298981,146429.97935029113,59700.327564396954,938946.3466620453,64093.25709455754,437105.0657252832,187620.61424401612,400220.4128643941,1738867.4172069465,22024.080206936746,8033.900328502299,0.0,0.0,0.0,0.0,0.0
2021-01-01 17:00:00,453785.78266429825,184874.9985833732,59736.23605306257,938913.9890129035,51859.51976114439,436507.8964565119,184453.95729547102,429935.3421497712,1737396.8770229397,22018.62300433974,8036.829529178808,0.0,0.0,0.0,0.0,0.0
2021-01-01 18:00:00,440533.8900816899,203812.15200721938,59541.177601483694,938406.2337519723,45064.22960438018,436141.4619699637,184244.892945343,461488.3649795971,1737254.5160544324,22022.163623958844,8032.653861680287,0.0,0.0,0.0,0.0,0.0
2021-01-01 19:00:00,440488.5970614177,205378.35815796343,59656.48831780993,939163.5199502396,42973.041996935564,433935.60874513304,184289.99968031922,518709.0760378992,1737166.682533743,22021.302767179055,8028.846666027733,0.0,0.0,0.0,0.0,0.0
2021-01-01 20:00:00,440493.9154221955,212413.14176751082,59541.177601483694,939363.1029179129,53374.38279187416,430604.66836157336,184167.0211265449,533821.3084974593,1737568.3788206666,22008.97976196224,8023.818140456469,0.0,0.0,0.0,0.0,0.0
2021-01-01 21:00:00,437120.79999053775,209921.5268569939,59342.719578036136,938816.1442669927,56231.25351247743,432346.54131207534,184230.4546484691,606122.5556400456,1737433.0512038313,21991.314295131862,8021.499897482471,0.0,0.0,0.0,0.0,0.0
2021-01-01 22:00:00,418001.5567233245,223076.57066694502,59541.177601483694,939219.1226001517,63294.50867540422,428268.28819094657,184183.29783187507,617059.5340072811,1736877.826806207,21994.237080152,8016.265959558626,0.0,0.0,0.0,0.0,0.0
2021-01-01 23:00:00,418894.56462386803,221671.00975662397,59342.719578036136,939529.2269320649,60935.07427338201,425182.65247367136,184091.1526305436,612035.9223967395,1736745.2002985359,21992.780614710293,7984.042897777295,0.0,0.0,0.0,0.0,0.0
2021-01-02 00:00:00,418016.0959918602,181973.59019383785,59342.719578036136,939281.8368339664,53012.15733251312,422988.3836897822,181939.90548765677,609023.095143658,1736081.4997725405,21995.940341048634,7974.029653117704,0.0,0.0,0.0,0.0,0.0
2021-01-02 01:00:00,418980.452183521,170329.38122018773,59342.719578036136,939335.0834462694,45617.65666251874,423973.0796319466,181913.21129903782,676788.7630919102,1734387.5500151585,21977.71814750902,7968.455284630925,0.0,0.0,0.0,0.0,0.0
2021-01-02 02:00:00,428554.93108333164,151639.2222271318,59342.719578036136,939724.3580563118,43700.54247054337,422962.2560028504,184128.1240214171,739903.7609090902,1736564.458300349,21974.37405692135,7971.408865614071,0.0,0.0,0.0,0.0,0.0
2021-01-02 03:00:00,433236.0033052835,144556.91458775298,59342.719578036136,939461.5833568552,43122.04362914479,421636.3092656335,184076.2405040727,768044.3813119255,1736042.8453035823,21970.348597915632,7971.108368096732,0.0,0.0,0.0,0.0,0.0
2021-01-02 04:00:00,433509.920697932,148390.94691035745,59386.55882462315,939381.196753314,47592.08718349742,419943.9364654859,184420.02944011148,702850.7517178468,1737389.7148703737,21962.317217073924,7933.590137294763,0.0,0.0,0.0,0.0,0.0
2021-01-02 05:00:00,435593.11035604606,143980.39311438848,59466.30655987579,939952.7852047542,56377.32040689911,419764.7888563009,184204.7306942726,643118.0041283121,1733499.0113752268,21962.869479541136,7926.824789015193,0.0,0.0,0.0,0.0,0.0
2021-01-02 06:00:00,443802.6200916234,121468.58932197117,59466.30655987579,939932.7969199442,60926.981969698216,419883.45863628265,185195.44488483513,544195.342851371,1736910.1350217066,21966.033771062783,7911.5905943383705,0.0,0.0,0.0,0.0,0.0
2021-01-02 07:00:00,441894.2182456169,139346.66634133228,59581.61727620203,939816.1669324834,62031.58592157008,416771.37962944823,186165.18465126882,481179.18299373944,1738160.1895575353,21972.44715756938,7865.9820753532895,0.0,0.0,0.0,0.0,0.0
2021-01-02 08:00:00,441894.2182456169,160484.1716934803,59581.61727620203,941023.7286891645,64919.10729220508,414780.60265010403,186189.36719673636,459364.8991678981,1738523.0054373431,21971.901105187386,7868.497563418554,0.0,0.0,0.0,0.0,0.0
2021-01-02 09:00:00,446626.0308772538,145376.68083236346,59581.61727620203,940632.9976003654,67537.81716214282,414700.9886190608,186139.30673992596,466674.83265184675,1738329.6181692202,21981.99777111935,7861.747788051797,0.0,0.0,0.0,0.0,0.0
2021-01-02 10:00:00,445491.89542627096,157770.1789770359,59736.23605306257,940927.0274252855,66938.829536982,413158.9689804083,186533.27364603445,455957.184569902,1737372.5009243402,21966.370305660916,7849.949313387356,0.0,0.0,0.0,0.0,0.0
2021-01-02 11:00:00,447412.5823455724,190718.70631002655,59585.6998509127,940899.6685660172,66053.07037263222,412945.6366609356,184361.7891665784,467523.2538442058,1736227.501596159,21978.848165930474,7849.483335410872,0.0,0.0,0.0,0.0,0.0
2021-01-02 12:00:00,449627.4760002495,207647.35449025882,59700.327564396954,941490.1654638534,70758.06305464938,411823.5882916713,184147.73894867382,488737.67363519024,1737412.2239651398,21988.96103797083,7835.812869854879,0.0,0.0,0.0,0.0,0.0
2021-01-02 13:00:00,462109.27947591036,173334.45337842047,59664.76458332335,942280.9510449474,75491.91918983414,408269.5440006707,184548.6163474287,626349.3711203269,1747848.829177145,21984.197610211348,7823.003543384768,0.0,0.0,0.0,0.0,0.0
2021-01-02 14:00:00,463629.27134699427,188200.8370345615,59589.023841493305,941770.9178604527,67031.62559987482,408266.9552934143,184689.39729691227,477928.27299762657,1745398.3234012309,21969.464950409772,7819.332108913505,0.0,0.0,0.0,0.0,0.0
2021-01-02 15:00:00,466534.7149198108,179697.0650662312,59669.073324439254,941257.5548488784,58378.88115279331,407715.54651868873,184323.70518478184,682371.178168103,1749112.896533034,21970.69233016158,7804.482721830888,0.0,0.0,0.0,0.0,0.0
2021-01-02 16:00:00,461612.45771972777,211049.9034089581,59575.50373769939,941853.2830266062,56850.30094566885,408319.1689944716,184072.51456785877,538007.2228150993,1749131.638910092,21975.41192943426,7802.961028430933,0.0,0.0,0.0,0.0,0.0
2021-01-02 17:00:00,459426.2188835926,203065.61005250955,59416.353774786134,942137.8898567936,57324.82315426686,407019.94067376177,183944.19112221824,642447.5107785057,1751150.9226242716,21984.1932943598,7795.1711599272685,0.0,0.0,0.0,0.0,0.0
2021-01-02 18:00:00,457423.8747254661,232560.65989691464,59700.327564396954,941781.6878292294,55128.22239598297,401931.71748524415,183993.92113797762,708550.7445329827,1754649.8213334072,21989.78871987416,7778.9370308828875,0.0,0.0,0.0,0.0,0.0
2021-01-02 19:00:00,460262.6203697853,236372.86707962063,59736.23605306257,942193.5159370943,53190.52614303401,401714.2878125569,183955.17907948073,764082.6300386953,1766330.225680519,21986.84890944875,7774.350503841791,0.0,0.0,0.0,0.0,0.0
