asset_id,component_id,connecting_node_code,num_of_units,latitude,longitude,capacity,capacity_factor,annual_avg_energy,p_min,nominal_head,max_spill,max_water_discharge,min_water_discharge,gen_type,cascade_group,cascade_order,upper_reservoir_id,lower_reservoir_id,max_level,min_level,min_storage,max_storage,ramp_up,ramp_down,min_up,min_down,min_gen,spinning_reserve_capability,forced_outage_rate,planned_outage_rate,start_up_cost_cold,shutdown_cost,typical_plant_size_MW,capital_cost_CAD_per_kW,service_life_years,fixed_om_cost_CAD_per_MWyear,variable_om_cost_CAD_per_MWh,average_fuel_price_CAD_per_MMBtu,carbon_emissions_tCO2eq_per_MWh,start_year,closure_year,hydro_type,sources
BC_BOX_GSS,BC_BOX00_GEN,BC_BOX_GSS,1,49.600618,-123.426733,14.7,DEFAULT,47.4,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_run,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,,,1.0,1.0,,0.0,0.05,0.1,0,0.0,65,3250.0,80,55655,1.0,0.0,0.0,2016,,ror,
BC_BR1_GSS,BC_BR101_GEN,BC_BR1_GSS,8,50.72985,-122.240038,508.0,DEFAULT,1392.46,80.0,DEFAULT,2342.4,640.0,0,hydro_daily,Bridge,2,BC_BR1_RES,BC_SON_RES,DEFAULT,DEFAULT,DEFAULT,DEFAULT,19.05,19.05,1.0,1.0,,0.1,0.05,0.1,0,0.0,100,4007.9,80,115196,5.0,0.0,0.0,1934,,reservoir,Asset ID modified to align with CODERS naming update 2024-10-01
BC_BRC_DSS,BC_BRC00_GEN,BC_TSV_DSS,1,49.927814,-126.760236,4.0,DEFAULT,16.0,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_run,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,,,1.0,1.0,,0.0,0.05,0.1,0,0.0,65,3250.0,80,55655,1.0,0.0,0.0,2012,,ror,
BC_BRD_GSS,BC_BRD01_GEN,BC_BRD_GSS,4,49.32488,-117.620653,150.0,DEFAULT,435.14,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_daily,DEFAULT,DEFAULT,Brilliant,Columbia (U.S.),450.9,447.9,DEFAULT,DEFAULT,5.625,5.625,1.0,1.0,,0.1,0.05,0.1,0,0.0,100,4007.9,80,115196,5.0,0.0,0.0,1944,,ror,
BC_BRE_GSS,BC_BRE00_GEN,BC_BRE_GSS,1,49.669291,-122.015649,27.5,DEFAULT,87.3,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_run,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,,,1.0,1.0,,0.0,0.05,0.1,0,0.0,65,3250.0,80,55655,1.0,0.0,0.0,2021,,ror,
BC_BRL_GSS,BC_BRL00_GEN,BC_BRL_GSS,1,54.027253,-129.843668,7.2,DEFAULT,57.0,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_daily,DEFAULT,DEFAULT,,,,,DEFAULT,DEFAULT,1.08,1.08,1.0,1.0,,0.1,0.05,0.1,0,0.0,100,4007.9,80,115196,5.0,0.0,0.0,1996,,ror,
BC_BRX_GSS,BC_BRX00_GEN,BC_BRX_GSS,1,49.323118,-117.619793,120.0,DEFAULT,428.67,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_daily,DEFAULT,DEFAULT,Brilliant,Columbia (U.S.),,,DEFAULT,DEFAULT,18.0,18.0,1.0,1.0,,0.1,0.05,0.1,0,0.0,100,4007.9,80,115196,5.0,0.0,0.0,2007,,ror,
BC_BSV_GSS,BC_BSV00_GEN,BC_BSV_GSS,1,49.693045,-121.859106,40.6,DEFAULT,158.62,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_run,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,,,1.0,1.0,,0.0,0.05,0.1,0,0.0,65,3250.0,80,55655,1.0,0.0,0.0,2016,,ror,
BC_CCK_DSS,BC_CCK00_GEN,BC_PAL_DSS,1,49.185606,-124.739465,6.3,DEFAULT,24.73,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_run,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,,,1.0,1.0,,0.0,0.05,0.1,0,0.0,65,3250.0,80,55655,1.0,0.0,0.0,2005,,ror,
BC_CMS_GSS,BC_CMS01_GEN,BC_CMS_GSS,2,49.933702,-123.290985,180.0,DEFAULT,522.17,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_daily,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,13.5,13.5,1.0,1.0,,0.1,0.05,0.1,0,0.0,100,4007.9,80,115196,5.0,0.0,0.0,1988,,ror,
