asset_id,latitude,longitude,min_storage,max_storage,min_level,max_level,cascade_group,cascade_order
BC_GMS_RES,56.014797,-122.195744,0,39471000000.0,624.03,672.08,Peace,1
BC_PCN_RES,55.982571,-121.99497,0,24690000.0,500.0,502.92,Peace,2
BC_STC_RES,56.196554,-120.913957,2145000000,2310000000.0,460.011,461.8,Peace,3
BC_MCA_RES,52.075872,-118.570515,0,14800000000.0,707.41,754.68,Mica/Columbia,1
BC_REV_RES,51.048563,-118.193945,0,173000000.0,571.5,573.02,Mica/Columbia,2
BC_WHN_RES,50.813937,-118.06001,0,459350.0,698.0,701.95,Mica/Columbia,2
BC_WGS_RES,49.910565,-118.071814,0,121500000.0,634.0,641.3,Mica/Columbia,2
BC_ALH_RES,49.343024,-117.768849,0,8760000000.0,418.64,440.1,Mica/Columbia,3
BC_LAJ_RES,50.83972,-122.85589,0,705600000.0,707.67,749.81,Bridge,1
BC_BR1_RES,50.72985,-122.240038,0,1012500000.0,606.55,651.08,Bridge,2
BC_WDN_RES,50.660512,-121.98331,0,,,,Bridge,2
BC_SON_RES,50.672742,-121.924124,0,14800000.0,235.76,236.36,Bridge,3
BC_ALU_RES,49.371009,-122.312429,0,198650000.0,112.6,125.51,Stave,1
BC_SFL_RES,49.228836,-122.356118,9,470000000.0,73.0,82.08,Stave,2
BC_RUS_RES,49.194973,-122.408341,0,42000000.0,33.0,42.8,Stave,3
BC_SCA_RES,49.998082,-125.585578,0,880180000.0,192.0,220.98,Campbell,1
BC_LDR_RES,50.017315,-125.393017,0,309600000.0,163.65,178.3,Campbell,2
BC_JHT_RES,50.044,-125.310893,0,20420000.0,133.43,140.06,Campbell,3
BC_SEV_RES,49.030161,-117.504098,0,45960000.0,514.8,527.3,Seven Mile,1
BC_WAN_RES,49.004148,-117.612867,0,,,,Seven Mile,2
BC_DUN_RES,50.251708,-116.946367,0,1727000000.0,546.87,576.68,Kootenay,1
