,BC_BMW00_GEN,BC_CSS00_GEN,BC_DKW00_GEN,BC_MKL00_GEN,BC_MLW00_GEN,BC_PSW00_GEN,BC_QTY00_GEN,BC_SHC00_GEN,BC_SUK00_GEN,BC_ZBK00_GEN
2021-01-01 00:00:00,13.11672249153201,80.34458252317727,63.159839036293626,103.07788254936094,10.038275216403179,5.189932904291102,103.52249475341802,4.882246301678986,7.018269099675664,5.959191181241046
2021-01-01 01:00:00,6.4948619326036505,80.34458252317727,40.52239194188204,85.13639635826793,6.9765363996777685,5.733678750299886,71.71903948392618,5.924383277680953,3.6112215212459917,3.0662773309606344
2021-01-01 02:00:00,1.655544634107787,80.34458252317727,18.18550382435934,38.87779919179817,2.406744297945866,5.2903318860399535,19.445939667997166,6.64512435680915,0.48343743701556435,0.4104852735666776
2021-01-01 03:00:00,0.4712319085378456,80.34458252317727,0.6502020123347323,20.059534683240795,0.5890393188193778,5.759208562621211,0.8417478564850257,7.488504048079059,0.1427334268117208,0.12119452335676736
2021-01-01 04:00:00,2.214327695209638,80.34458252317727,0.5810472696866592,7.63192188733512,0.23664729290178857,6.603909493040453,0.8417478564850257,9.00146359860302,0.1427334268117208,0.12119452335676736
2021-01-01 05:00:00,2.0373957135402674,80.34458252317727,0.5810472696866592,1.9740631923698366,0.18389122567163407,5.657204681517341,5.521055666569935,7.846909798638633,0.1427334268117208,0.12119452335676736
2021-01-01 06:00:00,3.4176881265998333,80.34458252317727,0.5810472696866592,4.188345533456359,0.49574782974889753,6.125114076708384,15.147077878752205,8.482023243909522,0.1427334268117208,0.12119452335676736
2021-01-01 07:00:00,5.507213844351542,80.34458252317727,0.5810472696866592,13.047396325465066,0.982811198572044,8.359124750042916,18.507931379375687,10.227754086701859,0.24546257409418787,0.20842153330005683
2021-01-01 08:00:00,8.822731127811075,80.34458252317727,0.5810472696866592,15.06499834710587,1.4286318784313947,8.857635770578815,36.9339972247594,10.146700004400003,0.20057740352750872,0.1703096699886578
2021-01-01 09:00:00,10.67850694804617,79.18934078469604,0.5810472696866592,9.747077612741789,1.0249347493719017,8.997958555407118,29.47008631778893,10.198322197813528,0.1427334268117208,0.12119452335676736
2021-01-01 10:00:00,16.82811602263246,20.717295826910405,0.5810472696866592,9.45494006662639,0.9579522613560945,8.364719534963536,23.80474913131198,10.15917262104541,0.1427334268117208,0.12119452335676736
2021-01-01 11:00:00,21.840059866869485,13.785438866680126,0.5810472696866592,10.546816500647797,1.0978649133756988,7.7697686385706675,23.496310925567382,9.957657896357825,0.1427334268117208,0.12119452335676736
2021-01-01 12:00:00,25.07023906608151,17.835269368471973,0.5810472696866592,8.509070825215751,0.8979385686495895,6.32056893211866,17.615451217421747,9.014511782725004,0.1427334268117208,0.12119452335676736
2021-01-01 13:00:00,16.68562197065011,38.90701815539511,0.5810472696866592,5.0747192422927885,0.5569803254778949,7.422173280478667,12.754463539511725,10.28818520889568,0.1427334268117208,0.12119452335676736
2021-01-01 14:00:00,13.619095688094331,64.20816640998298,0.5810472696866592,4.467308355604267,0.5080365794227418,9.501654829718724,10.586120462752021,10.315674411701597,0.1427334268117208,0.12119452335676736
2021-01-01 15:00:00,19.984434570273798,78.09021267485295,0.5810472696866592,5.266133581092614,0.5205069536789045,10.342329600486583,10.755129493877183,10.374907153571591,0.1427334268117208,0.12119452335676736
2021-01-01 16:00:00,14.555752134288815,80.2480242001257,0.5810472696866592,3.649596690546166,0.46863125404776784,11.074328939382728,9.814525890045893,10.429497189440191,0.1427334268117208,0.12119452335676736
2021-01-01 17:00:00,22.11473705145231,80.34458252317727,0.5810472696866592,7.837630241504692,0.6682245712339983,11.074328939382728,12.334482700849755,10.429497189440191,0.1427334268117208,0.12119452335676736
2021-01-01 18:00:00,20.231229287280925,80.34458252317727,0.5810472696866592,3.978012316235049,0.46895769324867703,11.074328939382728,10.975048388336164,10.429497189440191,0.1427334268117208,0.12119452335676736
2021-01-01 19:00:00,12.478947296322648,80.34458252317727,0.5810472696866592,5.204461008264444,0.4552821307110986,11.074328939382728,6.7513119940818545,10.429497189440191,0.1427334268117208,0.12119452335676736
