Unnamed: 0,generation_unit_name,generation_unit_code,generation_facility_name,generation_facility_code,owner,province,location,latitude,longitude,elevation,copper_balancing_area,operating_region,connecting_node_name,connecting_node_code,connecting_voltage,start_year,previous_renewal_year,possible_renewal_year,closure_year,gen_type,gen_type_copper,unit_installed_capacity,facility_installed_capacity,capacity_adjustment,unit_effective_capacity,facility_effective_capacity,capacity_factor,unit_average_annual_energy,facility_average_annual_energy,generation_units_represented,total_facility_generation_units,notes,asset_id,Install capacity,Model,Manufacturer,Turbine rated capacity (kW),Rotor diameter (m),Hub height (m),config_oedb,variable_om_cost_CAD_per_MWh,average_fuel_price_CAD_per_MMBtu,average_fuel_price_CAD_per_GJ,carbon_emissions,heat_rate,spinning_reserve_capability,economic_life,capital_cost_CAD_per_kW,capital_overhead_CAD_per_kW,overnight_capital_cost_CAD_per_kW,interest_during_construction_CAD_per_kW,annualized_capital_cost_CAD_per_MWyear,total_project_cost_2020_CAD_per_kW
256,Bear Mountain,BC_BMW00_GEN,Bear Mountain,BC_BMW_GEN,Bear Mountain Wind Limited Partnership,BC,Dawson Creek,55.704126,-120.42636,933,British Columbia.a,British Columbia,Bear Mountain GS,BC_BMW_GSS,138,2009,2009,2034,,wind_ons,wind_ons,102.0,102.0,0.24,24.48,24.48,0.2205,197.0,197.0,34,34,,BC_BMW00_GEN,102.0,E-82/3000*-1,Enercon,3000,82.0,78.0,E-82/3000*-1,0.0,0.0,0.0,0.0,,0.0,30.0,2233.4,44.67,2278.07,235.5,218137.37,2706.88
297,Cape Scott,BC_CSS00_GEN,Cape Scott,BC_CSS_GEN,Cape Scott Wind LP,BC,Port Hardy,50.789021,-128.003295,313,British Columbia.a,British Columbia,Cape Scott GS,BC_CSS_GSS,138,2013,2013,2033,,wind_ons,wind_ons,99.2,99.2,0.24,23.81,23.81,0.364,316.3,316.3,55,55,,BC_CSS00_GEN,99.2,V100/1800*134,Vestas,1800,100.0,80.0,V100/1800*134,0.0,0.0,0.0,0.0,,0.0,30.0,2233.4,44.67,2278.07,235.5,218137.37,2706.88
302,Dokie,BC_DKW00_GEN,Dokie,BC_DKW_GEN,Dokie General Partnership,BC,Chetwynd,55.811775,-122.247353,1303,British Columbia.a,British Columbia,Dokie GS,BC_DKW_GSS,230,2011,2011,2036,,wind_ons,wind_ons,144.0,144.0,0.24,34.56,34.56,0.2973,375.0,375.0,48,48,,BC_DKW00_GEN,144.0,V100/1800,Vestas,1800,100.0,100.0,V100/1800*134,0.0,0.0,0.0,0.0,,0.0,30.0,2233.4,44.67,2278.07,235.5,218137.37,2706.88
399,Meikle,BC_MKL00_GEN,Meikle,BC_MKL_GEN,Meikle Wind Energy Limited Partnership,BC,Tumbler Ridge,55.28556,-121.469056,1189,British Columbia.a,British Columbia,Meikle GS,BC_MKL_GSS,230,2015,2015,2040,,wind_ons,wind_ons,184.6,184.6,0.24,44.3,44.3,0.3346,541.0,541.0,61,61,,BC_MKL00_GEN,184.6,GE 3.2-130*-1,GE,3200,103.0,100.0,GE 3.2-130*-1,0.0,0.0,0.0,0.0,,0.0,30.0,2233.4,44.67,2278.07,235.5,218137.37,2706.88
400,Moose Lake,BC_MLW00_GEN,Moose Lake,BC_MLW_GEN,Moose Lake Wind Limited Partnership,BC,Tumbler Ridge,55.285633,-121.298571,1158,British Columbia.a,British Columbia,Moose Lake GS,BC_MLW_GSS,230,2019,2019,2059,,wind_ons,wind_ons,15.0,15.0,0.24,3.6,3.6,0.4262,56.0,56.0,4,4,,BC_MLW00_GEN,15.0,E-141/4200*-1,Enercon,3750,141.0,99.0,E-141/4200*-1,0.0,0.0,0.0,0.0,,0.0,30.0,2233.4,44.67,2278.07,235.5,218137.37,2706.88
419,Pennask,BC_PSW00_GEN,Pennask,BC_PSW_GEN,Canadian Power Holdings,BC,Westbank,49.925611,-120.109281,1574,British Columbia.a,British Columbia,Pennask GS,BC_PSW_GSS,138,2010,2010,2050,,wind_ons,wind_ons,15.0,15.0,0.24,3.6,3.6,0.379,49.8,49.8,5,5,,BC_PSW00_GEN,15.0,3.2M114*-1,Senvion,3000,114.0,100.0,3.2M114*-1,0.0,0.0,0.0,0.0,,0.0,30.0,2233.4,44.67,2278.07,235.5,218137.37,2706.88
423,Quality,BC_QTY00_GEN,Quality,BC_QTY_GEN,Capital Power L.P.,BC,Tumbler Ridge,55.184599,-120.854677,1235,British Columbia.a,British Columbia,Quality GS,BC_QTY_GSS,230,2012,2012,2037,,wind_ons,wind_ons,142.2,142.2,0.24,34.13,34.13,0.3829,476.91,476.91,79,79,,BC_QTY00_GEN,142.2,V100/1800,Vestas,1800,100.0,100.0,V100/1800*134,0.0,0.0,0.0,0.0,,0.0,30.0,2233.4,44.67,2278.07,235.5,218137.37,2706.88
451,Shinish Creek,BC_SHC00_GEN,Shinish Creek,BC_SHC_GEN,Zero Emissions Shinish Creek Limited Partnership,BC,Summerland,49.660175,-120.122212,1822,British Columbia.a,British Columbia,RG Anderson TS,BC_RGA_TSS,230,2010,2010,2050,,wind_ons,wind_ons,15.0,15.0,0.24,3.6,3.6,0.4148,54.5,54.5,5,5,,BC_SHC00_GEN,15.0,V100/1800,Vestas,1800,100.0,100.0,V100/1800*134,0.0,0.0,0.0,0.0,,0.0,30.0,2233.4,44.67,2278.07,235.5,218137.37,2706.88
469,Sukunka,BC_SUK00_GEN,Sukunka,BC_SUK_GEN,Sukunka Wind Project Limited Partnership,BC,Chetwynd,55.543022,-121.563656,939,British Columbia.a,British Columbia,Sukunka,BC_SNK_DSS,230,2021,2021,2061,,wind_ons,wind_ons,15.0,15.0,0.24,3.6,3.6,0.3805,50.0,50.0,4,4,,BC_SUK00_GEN,15.0,V100/1800,Vestas,1800,100.0,100.0,V100/1800*134,0.0,0.0,0.0,0.0,,0.0,30.0,2233.4,44.67,2278.07,235.5,218137.37,2706.88
503,Zonnebeke,BC_ZBK00_GEN,Zonnebeke,BC_ZBK_GEN,Zonnebeke Wind Project Limited Partnership,BC,Chetwynd,55.589825,-121.565488,771,British Columbia.a,British Columbia,Sukunka,BC_SNK_DSS,230,2021,2021,2061,,wind_ons,wind_ons,15.0,15.0,0.24,3.6,3.6,0.347,45.6,45.6,4,4,,BC_ZBK00_GEN,15.0,V100/1800,Vestas,1800,100.0,100.0,V100/1800*134,0.0,0.0,0.0,0.0,,0.0,30.0,2233.4,44.67,2278.07,235.5,218137.37,2706.88
