,name,x,y,type,v_nom,substation_type
99,138_HWD_JCT,-123.930726,49.134548,ac,138,JCT
100,138_NEX_JCT,-123.866226,49.139261,ac,138,JCT
101,138_HMC_ISS,-123.860753,49.135513,ac,138,ISS
102,138_NEX_ISS,-123.866226,49.139261,ac,138,ISS
103,138_LTZ_JCT,-124.074971,49.226638,ac,138,JCT
104,138_PVL_JCT,-124.322478,49.302845,ac,138,JCT
105,138_QLC_JCT,-124.439657,49.331332,ac,138,JCT
106,138_LTZ_DSS,-124.074971,49.226638,ac,138,DSS
107,138_PVL_DSS,-124.322478,49.302845,ac,138,DSS
108,138_QLC_DSS,-124.439657,49.331332,ac,138,DSS
109,138_LDR_GSS,-125.390946,50.017035,ac,138,GSS
110,138_SCA_GSS,-125.585578,49.998082,ac,138,GSS
111,138_GLD_DSS,-126.064258,49.789185,ac,138,DSS
112,138_LDY_JCT,-123.815206,48.983384,ac,138,JCT
113,138_LDY_DSS,-123.815206,48.983384,ac,138,DSS
114,138_HWD_DSS,-123.930726,49.134548,ac,138,DSS
115,138_PML_JCT,-127.078809,50.572446,ac,138,JCT
116,138_KGH_DSS,-127.291702,50.604167,ac,138,DSS
117,138_KKS_GSS,-126.875511,50.519857,ac,138,GSS
118,138_PML_DSS,-127.078809,50.572446,ac,138,DSS
119,138_GCL_DSS,-124.962048,49.317582,ac,138,DSS
120,138_MRH_JCT,-127.431582,50.523425,ac,138,JCT
121,138_JUL_DSS,-127.495281,50.440537,ac,138,DSS
122,138_MRH_ISS,-127.431582,50.523425,ac,138,ISS
123,138_CMH_JCT,-126.419183,49.800891,ac,138,JCT
124,138_TSV_DSS,-126.651101,49.923290,ac,138,DSS
125,138_ZBT_TSS,-126.659707,49.923849,ac,138,TSS
126,138_ZBL_GSS,-126.779654,50.053521,ac,138,GSS
127,138_CMH_ISS,-126.419183,49.800891,ac,138,ISS
128,138_GRP_ISS,-126.125794,49.684001,ac,138,ISS
129,138_PHY_DSS,-127.498360,50.713864,ac,138,DSS
130,138_MHY_JCT,-123.886247,49.037555,ac,138,JCT
131,138_MHY_DSS,-123.886247,49.037555,ac,138,DSS
132,138_CFT_GSS,-123.650029,48.875707,ac,138,GSS
133,138_CSS_GSS,-128.003295,50.789021,ac,138,GSS
134,138_ASH_GSS,-125.150629,49.373363,ac,138,GSS
135,138_SOO_JCT,-123.698909,48.390950,ac,138,JCT
136,138_CLD_DSS,-123.509949,48.441961,ac,138,DSS
137,138_JOR_GSS,-124.052251,48.429655,ac,138,GSS
138,138_SOO_DSS,-123.698909,48.390950,ac,138,DSS
139,138_WOS_JCT,-126.594515,50.217612,ac,138,JCT
140,138_BVC_JCT,-126.881997,50.519635,ac,138,JCT
141,138_KTS_TSS,-126.875496,50.519997,ac,138,TSS
142,138_BVC_DSS,-126.881997,50.519635,ac,138,DSS
143,138_WOS_DSS,-126.594515,50.217612,ac,138,DSS
144,138_MON_DSS,-118.147711,49.920452,ac,138,DSS
145,138_LU2_JCT,-119.014352,50.228009,ac,138,JCT
146,138_TIL_JCT,-119.093948,50.232926,ac,138,JCT
147,138_VNT_TSS,-119.228870,50.251765,ac,138,TSS
148,138_LU2_ISS,-119.014352,50.228009,ac,138,ISS
149,138_TIL_DSS,-119.093948,50.232926,ac,138,DSS
150,138_SVA_DSS,-120.800520,50.754923,ac,138,DSS
151,138_AFN_JCT,-120.499705,50.661930,ac,138,JCT
152,138_TMT_JCT,-120.412978,50.663387,ac,138,JCT
153,138_DUG_DSS,-120.312386,50.667347,ac,138,DSS
154,138_AFN_ISS,-120.499705,50.661930,ac,138,ISS
155,138_TMT_DSS,-120.412978,50.663387,ac,138,DSS
156,138_WKA_DSS,-120.383898,50.673972,ac,138,DSS
157,138_LF2_JCT,-120.063122,50.660602,ac,138,JCT
158,138_CHS_JCT,-119.705148,50.822393,ac,138,JCT
159,138_VVW_DSS,-120.282704,50.680084,ac,138,DSS
160,138_STO_JCT,-119.461902,50.867666,ac,138,JCT
161,138_SAM_DSS,-119.251648,50.691570,ac,138,DSS
162,138_CHS_DSS,-119.705148,50.822393,ac,138,DSS
163,138_LF2_ISS,-120.063122,50.660602,ac,138,ISS
164,138_STO_DSS,-119.461902,50.867666,ac,138,DSS
165,138_TMM_JCT,-119.447283,51.676514,ac,138,JCT
166,138_AVO_JCT,-119.326941,51.784162,ac,138,JCT
167,138_HFY_JCT,-120.267836,50.848695,ac,138,JCT
168,138_BAR_JCT,-120.133696,51.199744,ac,138,JCT
169,138_DFD_JCT,-120.177132,51.312812,ac,138,JCT
170,138_BLP_JCT,-120.161423,51.566111,ac,138,JCT
171,138_CLW_JCT,-120.034367,51.654471,ac,138,JCT
172,138_TOK_JCT,-120.272429,50.843145,ac,138,JCT
173,138_BKL_DSS,-120.385272,50.708869,ac,138,DSS
174,138_VBY_JCT,-119.753658,51.590372,ac,138,JCT
175,138_AVO_DSS,-119.326941,51.784162,ac,138,DSS
176,138_BAR_DSS,-120.133696,51.199744,ac,138,DSS
177,138_BLP_DSS,-120.161423,51.566111,ac,138,DSS
178,138_CLW_DSS,-120.034367,51.654471,ac,138,DSS
179,138_DFD_DSS,-120.177132,51.312812,ac,138,DSS
180,138_HFY_DSS,-120.267836,50.848695,ac,138,DSS
181,138_TMM_DSS,-119.447283,51.676514,ac,138,DSS
182,138_TOK_DSS,-120.272429,50.843145,ac,138,DSS
183,138_VBY_DSS,-119.753658,51.590372,ac,138,DSS
184,138_BLE_JCT,-119.306182,52.109612,ac,138,JCT
185,138_BLU_JCT,-119.319039,52.117035,ac,138,JCT
186,138_FPS_JCT,-119.320800,51.913607,ac,138,JCT
187,138_BET_DSS,-119.181219,52.256067,ac,138,DSS
188,138_BLE_DSS,-119.306182,52.109612,ac,138,DSS
189,138_BLU_DSS,-119.319039,52.117035,ac,138,DSS
190,138_FPS_DSS,-119.320800,51.913607,ac,138,DSS
191,138_VLM_DSS,-119.281967,52.782441,ac,138,DSS
192,138_REG_DSS,-119.348863,52.971165,ac,138,DSS
193,138_END_JCT,-119.144683,50.560141,ac,138,JCT
194,138_ARM_JCT,-119.183626,50.448557,ac,138,JCT
195,138_RVG_JCT,-119.227221,50.393909,ac,138,JCT
196,138_RVS_JCT,-119.227242,50.393977,ac,138,JCT
197,138_ARM_DSS,-119.183626,50.448557,ac,138,DSS
198,138_END_DSS,-119.144683,50.560141,ac,138,DSS
199,138_RVG_GSS,-119.227221,50.393909,ac,138,GSS
200,138_RVS_DSS,-119.227242,50.393977,ac,138,DSS
201,138_KWD_DSS,-120.399903,50.685790,ac,138,DSS
202,138_WEY_ISS,-120.391543,50.691042,ac,138,ISS
203,138_CPL_JCT,-119.176882,52.388424,ac,138,JCT
204,138_ABA_JCT,-119.192804,52.660152,ac,138,JCT
205,138_ABA_DSS,-119.192804,52.660152,ac,138,DSS
206,138_BNC_GSS,-119.180830,52.255330,ac,138,GSS
207,138_CPL_DSS,-119.176882,52.388424,ac,138,DSS
208,138_STM_JCT,-120.447101,50.325516,ac,138,JCT
209,138_NIC_TSS,-120.389839,50.180236,ac,138,TSS
210,138_STM_ISS,-120.447101,50.325516,ac,138,ISS
211,138_PSW_JCT,-120.109281,49.925611,ac,138,JCT
212,138_BDM_JCT,-119.994568,49.870395,ac,138,JCT
213,138_WBK_DSS,-119.619277,49.848423,ac,138,DSS
214,138_BDM_ISS,-119.994568,49.870395,ac,138,ISS
215,138_PSW_GSS,-120.109281,49.925611,ac,138,GSS
216,138_WGS_GSS,-118.071814,49.910565,ac,138,GSS
217,138_MIG_GSS,-120.795714,50.097098,ac,138,GSS
218,138_MRT_DSS,-120.774345,50.119055,ac,138,DSS
219,138_PRI_JCT,-120.501984,49.457266,ac,138,JCT
220,138_CUM_JCT,-120.508894,49.345911,ac,138,JCT
221,138_SCO_DSS,-120.551645,49.353063,ac,138,DSS
222,138_CUM_DSS,-120.508894,49.345911,ac,138,DSS
223,138_GRH_JCT,-114.856124,50.059161,ac,138,JCT
224,138_BCK_JCT,-114.942938,50.247937,ac,138,JCT
225,138_LCC_JCT,-114.850924,49.884134,ac,138,JCT
226,138_EFD_JCT,-114.925628,50.028575,ac,138,JCT
227,138_FRO_JCT,-114.943039,50.247904,ac,138,JCT
228,,,,ac,138,
229,138_NTL_DSS,-114.858257,49.735535,ac,138,DSS
230,138_BCK_ISS,-114.942938,50.247937,ac,138,ISS
231,138_EFD_DSS,-114.925628,50.028575,ac,138,DSS
232,138_FRO_ISS,-114.943039,50.247904,ac,138,ISS
233,138_GRH_ISS,-114.856124,50.059161,ac,138,ISS
234,138_LCC_ISS,-114.850924,49.884134,ac,138,ISS
235,138_BMT_DSS,-120.446507,55.763714,ac,138,DSS
236,138_DAW_DSS,-120.264721,55.778877,ac,138,DSS
237,138_CWD_DSS,-121.630620,55.702259,ac,138,DSS
