,transmission_line_id,transmission_circuit_id,owner,province,operating_region,number_of_circuits,current_type,line_segment_length_km,line_segment_length_mi,line_length_km,line_length_mi,voltage,reactance,summer_capacity,winter_capacity,starting_node_name,starting_node_code,ending_node_name,ending_node_code,notes
5731,29087,1L116QLC,BC Hydro,BC,British Columbia,1,ac,0.049,0.030,0.049,0.030,138,0.02,137,174,Qualicum JCT,BC_QLC_JCT,Qualicum,BC_QLC_DSS,NULL
5732,29088,1L117,BC Hydro,BC,British Columbia,1,ac,6.494,4.009,6.494,4.009,138,2.82,199,255,John Hart GS,BC_JHT_GSS,Ladore Falls GS,BC_LDR_GSS,NULL
5733,29089,1L118,BC Hydro,BC,British Columbia,1,ac,6.507,4.017,6.507,4.017,138,2.82,199,255,John Hart GS,BC_JHT_GSS,Ladore Falls GS,BC_LDR_GSS,NULL
5734,29090,1L119,BC Hydro,BC,British Columbia,1,ac,20.000,12.346,88.470,54.611,138,38.36,137,174,Dunsmuir,BC_DMR_DSS,Buckley Bay JCT,BC_BKB_JCT,NULL
5735,29091,1L119,BC Hydro,BC,British Columbia,1,ac,15.470,9.549,88.470,54.611,138,38.36,137,174,Oyster River JCT,BC_OYR_JCT,Campbell River JCT,BC_CBL_JCT,NULL
5736,29092,1L119,BC Hydro,BC,British Columbia,1,ac,3.000,1.852,88.470,54.611,138,38.36,137,174,Campbell River JCT,BC_CBL_JCT,John Hart GS,BC_JHT_GSS,NULL
5737,29093,1L119,BC Hydro,BC,British Columbia,1,ac,50.000,30.864,88.470,54.611,138,38.36,137,174,Buckley Bay JCT,BC_BKB_JCT,Oyster River JCT,BC_OYR_JCT,NULL
5738,29094,1L119BKB,BC Hydro,BC,British Columbia,1,ac,0.177,0.109,0.177,0.109,138,0.08,140,179,Buckley Bay JCT,BC_BKB_JCT,Buckley Bay,BC_BKB_DSS,NULL
5739,29095,1L119CBL,BC Hydro,BC,British Columbia,1,ac,5.204,3.212,5.204,3.212,138,2.26,69,139,Campbell River JCT,BC_CBL_JCT,Campbell River,BC_CBL_DSS,NULL
5740,29096,1L119OYR,BC Hydro,BC,British Columbia,1,ac,0.476,0.294,0.476,0.294,138,0.21,137,174,Oyster River JCT,BC_OYR_JCT,Oyster River,BC_OYR_DSS,NULL
5741,29097,1L120,BC Hydro,BC,British Columbia,1,ac,47.588,29.375,47.588,29.375,138,20.63,138,175,Strathcona GS,BC_SCA_GSS,Gold River,BC_GLD_DSS,NULL
5742,29098,1L121,BC Hydro,BC,British Columbia,1,ac,15.722,9.705,15.722,9.705,138,6.82,142,179,Ladore Falls GS,BC_LDR_GSS,Strathcona GS,BC_SCA_GSS,NULL
5743,29099,1L122,BC Hydro,BC,British Columbia,1,ac,19.000,11.728,41.560,25.654,138,18.02,112,158,Harewood West,BC_HWW_DSS,Ladysmith JCT,BC_LDY_JCT,NULL
5744,29100,1L122,BC Hydro,BC,British Columbia,1,ac,18.000,11.111,41.560,25.654,138,18.02,112,158,Ladysmith JCT,BC_LDY_JCT,Prevost,BC_PVO_DSS,NULL
5745,29101,1L122,BC Hydro,BC,British Columbia,1,ac,4.560,2.815,41.560,25.654,138,18.02,228,291,Prevost,BC_PVO_DSS,Vancouver Island TS,BC_VIT_TSS,NULL
5746,29102,1L122LDY,BC Hydro,BC,British Columbia,1,ac,0.927,0.572,0.927,0.572,138,0.40,134,173,Ladysmith JCT,BC_LDY_JCT,Ladysmith,BC_LDY_DSS,NULL
5747,29103,1L123,BC Hydro,BC,British Columbia,1,ac,3.000,1.852,7.910,4.883,138,3.43,127,168,Harewood West,BC_HWW_DSS,Harewood JCT,BC_HWD_JCT,NULL
5748,29104,1L123,BC Hydro,BC,British Columbia,1,ac,4.910,3.031,7.910,4.883,138,3.43,127,168,Harewood JCT,BC_HWD_JCT,Jinglepot,BC_JPT_DSS,NULL
5749,29105,1L123HWD,BC Hydro,BC,British Columbia,1,ac,2.976,1.837,2.976,1.837,138,1.29,226,290,Harewood JCT,BC_HWD_JCT,Harewood,BC_HWD_DSS,NULL
5750,29106,1L124,BC Hydro,BC,British Columbia,1,ac,7.915,4.886,7.915,4.886,138,3.43,112,158,Harewood West,BC_HWW_DSS,Jinglepot,BC_JPT_DSS,NULL
5751,29107,1L125,BC Hydro,BC,British Columbia,1,ac,15.000,9.259,33.270,20.537,138,14.42,116,226,Port McNeil JCT,BC_PML_JCT,Keogh,BC_KGH_DSS,NULL
5752,29108,1L125,BC Hydro,BC,British Columbia,1,ac,18.270,11.278,33.270,20.537,138,14.42,116,226,Kokish GS,BC_KKS_GSS,Port McNeil JCT,BC_PML_JCT,NULL
5753,29109,1L125PML,BC Hydro,BC,British Columbia,1,ac,0.157,0.097,0.157,0.097,138,0.07,226,290,Port McNeil JCT,BC_PML_JCT,Port McNeil,BC_PML_DSS,NULL
5754,29110,1L127,BC Hydro,BC,British Columbia,1,ac,14.675,9.059,14.675,9.059,138,6.36,85,122,Port Alberni,BC_PAL_DSS,Great Central,BC_GCL_DSS,NULL
5755,29111,1L128,BC Hydro,BC,British Columbia,1,ac,7.892,4.872,7.892,4.872,138,3.42,112,158,Harewood West,BC_HWW_DSS,Jinglepot,BC_JPT_DSS,NULL
5756,29112,1L130,BC Hydro,BC,British Columbia,1,ac,14.060,8.679,28.060,17.321,138,12.17,75,125,Marble River Hatchery JCT,BC_MRH_JCT,Jeune Landing,BC_JUL_DSS,NULL
5757,29113,1L130,BC Hydro,BC,British Columbia,1,ac,14.000,8.642,28.060,17.321,138,12.17,75,125,Keogh,BC_KGH_DSS,Marble River Hatchery JCT,BC_MRH_JCT,NULL
5758,29114,1L130MRH,BC Hydro,BC,British Columbia,1,ac,0.012,0.008,0.012,0.008,138,0.01,32,59,Marble River Hatchery JCT,BC_MRH_JCT,Marble River Hatchery,BC_MRH_ISS,NULL
5759,29115,1L131,BC Hydro,BC,British Columbia,1,ac,28.000,17.284,73.430,45.327,138,31.84,126,168,Gold River,BC_GLD_DSS,Conuma Hatchery JCT,BC_CMH_JCT,NULL
5760,29116,1L131,BC Hydro,BC,British Columbia,1,ac,29.430,18.167,73.430,45.327,138,31.84,126,168,Conuma Hatchery JCT,BC_CMH_JCT,Tahsis Village,BC_TSV_DSS,NULL
5761,29117,1L131,BC Hydro,BC,British Columbia,1,ac,15.000,9.259,73.430,45.327,138,31.84,126,168,Zeballos Lake TS,BC_ZBT_TSS,Zeballos Lake GS,BC_ZBL_GSS,NULL
5762,29118,1L131,BC Hydro,BC,British Columbia,1,ac,1.000,0.617,73.430,45.327,138,31.84,126,168,Tahsis Village,BC_TSV_DSS,Zeballos Lake TS,BC_ZBT_TSS,NULL
5763,29119,1L131CMH,BC Hydro,BC,British Columbia,1,ac,0.058,0.036,0.058,0.036,138,0.03,106,136,Conuma Hatchery JCT,BC_CMH_JCT,Conuma Hatchery,BC_CMH_ISS,NULL
5764,29120,1L134,BC Hydro,BC,British Columbia,1,ac,13.836,8.541,13.836,8.541,138,6.00,72,137,Gold River,BC_GLD_DSS,Gold River Pulp,BC_GRP_ISS,NULL
5765,29121,1L137,BC Hydro,BC,British Columbia,1,ac,22.635,13.972,22.635,13.972,138,9.81,137,174,Keogh,BC_KGH_DSS,Port Hardy,BC_PHY_DSS,NULL
5766,29122,1L138,BC Hydro,BC,British Columbia,1,ac,8.000,4.938,40.670,25.105,138,17.63,127,168,Mount Hayes JCT,BC_MHY_JCT,Ladysmith JCT,BC_LDY_JCT,NULL
5767,29123,1L138,BC Hydro,BC,British Columbia,1,ac,4.000,2.469,40.670,25.105,138,17.63,127,168,South Wellington JCT,BC_SWN_JCT,Mount Hayes JCT,BC_MHY_JCT,NULL
5768,29124,1L138,BC Hydro,BC,British Columbia,1,ac,7.000,4.321,40.670,25.105,138,17.63,127,168,Harewood West,BC_HWW_DSS,South Wellington JCT,BC_SWN_JCT,NULL
5769,29125,1L138,BC Hydro,BC,British Columbia,1,ac,21.670,13.377,40.670,25.105,138,17.63,127,168,Ladysmith JCT,BC_LDY_JCT,Vancouver Island TS,BC_VIT_TSS,NULL
5770,29126,1L138LDY,BC Hydro,BC,British Columbia,1,ac,0.929,0.573,0.929,0.573,138,0.40,134,173,Ladysmith JCT,BC_LDY_JCT,Ladysmith,BC_LDY_DSS,NULL
5771,29127,1L138MHY,BC Hydro,BC,British Columbia,1,ac,0.200,0.123,0.200,0.123,138,0.09,189,234,Mount Hayes JCT,BC_MHY_JCT,Mount Hayes,BC_MHY_DSS,NULL
5772,29128,1L138SWN,BC Hydro,BC,British Columbia,1,ac,0.930,0.574,0.930,0.574,138,0.40,140,168,South Wellington JCT,BC_SWN_JCT,South Wellington,BC_SWN_DSS,NULL
5773,29129,1L139,BC Hydro,BC,British Columbia,1,ac,8.983,5.545,8.983,5.545,138,3.89,137,174,Vancouver Island TS,BC_VIT_TSS,Catalyst Paper Crofton GS,BC_CFT_GSS,NULL
5774,29130,1L140,BC Hydro,BC,British Columbia,1,ac,8.956,5.528,8.956,5.528,138,3.88,137,174,Vancouver Island TS,BC_VIT_TSS,Catalyst Paper Crofton GS,BC_CFT_GSS,NULL
5775,29131,1L141,BC Hydro,BC,British Columbia,1,ac,28.000,17.284,28.000,17.284,138,12.14,230,293,Cape Scott GS,BC_CSS_GSS,Port Hardy,BC_PHY_DSS,NULL
5776,29132,1L142,BC Hydro,BC,British Columbia,1,ac,16.179,9.987,16.179,9.987,138,7.01,85,122,Great Central,BC_GCL_DSS,Ash River GS,BC_ASH_GSS,NULL
5777,29133,1L143,BC Hydro,BC,British Columbia,1,ac,23.010,14.204,45.010,27.784,138,19.52,183,222,Sooke JCT,BC_SOO_JCT,Colwood,BC_CLD_DSS,NULL
5778,29134,1L143,BC Hydro,BC,British Columbia,1,ac,22.000,13.580,45.010,27.784,138,19.52,183,222,Jordan River GS,BC_JOR_GSS,Sooke JCT,BC_SOO_JCT,NULL
5779,29135,1L143SOO,BC Hydro,BC,British Columbia,1,ac,2.501,1.544,2.501,1.544,138,1.08,183,234,Sooke JCT,BC_SOO_JCT,Sooke,BC_SOO_DSS,NULL
5780,29136,1L146,BC Hydro,BC,British Columbia,1,ac,15.242,9.409,15.242,9.409,138,6.61,183,222,Goward,BC_GOW_DSS,Colwood,BC_CLD_DSS,NULL
5781,29137,1L152,BC Hydro,BC,British Columbia,1,ac,3.092,1.908,3.092,1.908,138,1.34,230,329,Jinglepot,BC_JPT_DSS,Northfield,BC_NFD_DSS,NULL
5782,29138,1L157,BC Hydro,BC,British Columbia,1,ac,37.000,22.840,109.940,67.864,138,47.67,116,226,Woss JCT,BC_WOS_JCT,Beaver Cove JCT,BC_BVC_JCT,NULL
5783,29139,1L157,BC Hydro,BC,British Columbia,1,ac,3.000,1.852,109.940,67.864,138,47.67,116,226,Beaver Cove JCT,BC_BVC_JCT,Kokish TS,BC_KTS_TSS,NULL
5784,29140,1L157,BC Hydro,BC,British Columbia,1,ac,69.940,43.173,109.940,67.864,138,47.67,116,226,Gold River,BC_GLD_DSS,Woss JCT,BC_WOS_JCT,NULL
5785,29141,1L157BVC,BC Hydro,BC,British Columbia,1,ac,0.061,0.037,0.061,0.037,138,0.03,179,217,Beaver Cove JCT,BC_BVC_JCT,Beaver Cove,BC_BVC_DSS,NULL
5786,29142,1L157KKS,BC Hydro,BC,British Columbia,1,ac,1.000,0.617,1.000,0.617,138,0.43,141,156,Kokish TS,BC_KTS_TSS,Kokish GS,BC_KKS_GSS,NULL
5787,29143,1L157WOS,BC Hydro,BC,British Columbia,1,ac,0.078,0.048,0.078,0.048,138,0.03,141,156,Woss JCT,BC_WOS_JCT,Woss,BC_WOS_DSS,NULL
5788,29144,1L201,BC Hydro,BC,British Columbia,1,ac,85.000,52.469,102.320,63.160,138,44.36,88,134,Monashee,BC_MON_DSS,Lumby #2 JCT,BC_LU2_JCT,NULL
5789,29145,1L201,BC Hydro,BC,British Columbia,1,ac,8.000,4.938,102.320,63.160,138,44.36,88,134,Lumby #2 JCT,BC_LU2_JCT,Tolko Industries Lavington JCT,BC_TIL_JCT,NULL
5790,29146,1L201,BC Hydro,BC,British Columbia,1,ac,9.320,5.753,102.320,63.160,138,44.36,88,134,Tolko Industries Lavington JCT,BC_TIL_JCT,Vernon TS,BC_VNT_TSS,NULL
5791,29147,1L201LU2,BC Hydro,BC,British Columbia,1,ac,0.032,0.020,0.032,0.020,138,0.01,88,134,Lumby #2 JCT,BC_LU2_JCT,Lumby #2,BC_LU2_ISS,NULL
5792,29148,1L201TIL,BC Hydro,BC,British Columbia,1,ac,0.318,0.196,0.318,0.196,138,0.14,123,157,Tolko Industries Lavington JCT,BC_TIL_JCT,Tolko Industries Lavington,BC_TIL_DSS,NULL
5793,29149,1L202,BC Hydro,BC,British Columbia,1,ac,85.000,52.469,102.250,63.117,138,44.33,88,134,Monashee,BC_MON_DSS,Lumby #2 JCT,BC_LU2_JCT,NULL
5794,29150,1L202,BC Hydro,BC,British Columbia,1,ac,17.250,10.648,102.250,63.117,138,44.33,88,134,Lumby #2 JCT,BC_LU2_JCT,Vernon TS,BC_VNT_TSS,NULL
5795,29151,1L202LU2,BC Hydro,BC,British Columbia,1,ac,0.045,0.028,0.045,0.028,138,0.02,88,134,Lumby #2 JCT,BC_LU2_JCT,Lumby #2,BC_LU2_ISS,NULL
5796,29152,1L203,BC Hydro,BC,British Columbia,1,ac,42.039,25.950,42.039,25.950,138,18.23,156,186,Savona,BC_SVA_DSS,Highland,BC_HLD_DSS,NULL
