Unnamed: 0,generation_unit_name,generation_unit_code,generation_facility_name,generation_facility_code,owner,province,location,latitude,longitude,elevation,copper_balancing_area,operating_region,connecting_node_name,connecting_voltage,start_year,previous_renewal_year,possible_renewal_year,closure_year,gen_type,gen_type_copper,unit_installed_capacity,facility_installed_capacity,capacity_adjustment,unit_effective_capacity,facility_effective_capacity,capacity_factor,unit_average_annual_energy,facility_average_annual_energy,generation_units_represented,total_facility_generation_units,notes,connecting_node_code,variable_om_cost_CAD_per_MWh,average_fuel_price_CAD_per_MMBtu,average_fuel_price_CAD_per_GJ,carbon_emissions,heat_rate,spinning_reserve_capability,economic_life,capital_cost_CAD_per_kW,capital_overhead_CAD_per_kW,overnight_capital_cost_CAD_per_kW,interest_during_construction_CAD_per_kW,annualized_capital_cost_CAD_per_MWyear,total_project_cost_2020_CAD_per_kW,ramp_rate_percent_per_min,min_up_time_hours,min_down_time_hours
392,McMahon_01,BC_MCM01_GEN,McMahon,BC_MCM_GEN,McMahon Cogeneration Plant JV,BC,Taylor,56.14633,-120.671073,465,British Columbia.a,British Columbia,McMahon GS,138,1993,1993,2030,2030.0,NG_CG,NG_CC,60.0,240.0,0.9,54.0,108.0,0.7991,420.0,1680.0,1,2,,BC_MCM_GSS,7.94,3.11,2.94,0.3375,7.16,0.5,30,3698.5,73.97,3772.47,389.98,357371.46,4434.64,0.08,4.0,2.0
397,Merritt Green Energy,BC_MIG00_GEN,Merritt Green Energy,BC_MIG_GEN,Merritt Green Energy Limited Partnership,BC,Merritt,50.097098,-120.795714,652,British Columbia.a,British Columbia,Merritt Green GS,138,2015,2015,2035,,biomass,biomass,40.0,40.0,0.96,38.4,38.4,0.8662,303.53,303.53,1,1,,BC_MIG_GSS,6.58,3.03,2.87,0.0,13.5,0.06,30,5882.5,117.65,6000.15,788.47,577636.65,7167.92,0.08,8.0,8.0
405,NWE Williams Lake WW,BC_NWE00_GEN,NWE Williams Lake WW,BC_NWE_GEN,Atlantic Power Preferred Equity Ltd.,BC,Williams Lake,52.161255,-122.171152,678,British Columbia.a,British Columbia,North West Energy,69,1993,2019,2049,,biomass,biomass,66.0,66.0,0.96,63.36,63.36,0.6718,388.4,388.4,1,1,,BC_NWE_ISS,6.58,3.03,2.87,0.0,13.5,0.06,30,5882.5,117.65,6000.15,788.47,577636.65,7167.92,0.08,8.0,8.0
406,Northwood Green Power,BC_NWP00_GEN,Northwood Green Power,BC_NWP_GEN,Canfor Pulp Ltd.,BC,Prince George,53.979193,-122.693639,604,British Columbia.a,British Columbia,Northwood,69,2014,2014,2044,,biomass,biomass,94.5,94.5,0.96,90.72,90.72,0.1921,159.0,159.0,1,1,,BC_NWP_ISS,6.58,3.03,2.87,0.0,13.5,0.06,30,5882.5,117.65,6000.15,788.47,577636.65,7167.92,0.08,8.0,8.0
409,Catalyst Paper Port Alberni,BC_PAL00_GEN,Catalyst Paper Port Alberni,BC_PAL_GEN,Catalyst Paper,BC,Port Alberni,49.247371,-124.811185,4,British Columbia.a,British Columbia,Port Alberni,138,1990,1990,2010,2010.0,biomass,biomass,17.0,17.0,0.96,16.32,16.32,0.2119,31.56,31.56,1,1,Does not currently supply the grid,BC_PAL_DSS,6.58,3.03,2.87,0.0,13.5,0.06,30,5882.5,117.65,6000.15,788.47,577636.65,7167.92,0.08,8.0,8.0
410,UNBC Bioenergy Plant,BC_PCA00_GEN,UNBC Bioenergy Plant,BC_PCA_GEN,University of Northern British Columbia,BC,Prince George,53.89263,-122.814927,762,British Columbia.a,British Columbia,Patricia,230,2009,2009,2039,,biomass,biomass,4.4,4.4,0.96,4.22,4.22,0.212,8.17,8.17,1,1,,BC_PCA_DSS,6.58,3.03,2.87,0.0,13.5,0.06,30,5882.5,117.65,6000.15,788.47,577636.65,7167.92,0.08,8.0,8.0
417,Powell River Generation_11,BC_POW01_GEN,Powell River Generation,BC_POW_GEN,Catalyst Paper,BC,Powell River,49.873132,-124.554445,2,British Columbia.a,British Columbia,Powell,138,2012,2012,2021,2021.0,biomass,biomass,10.0,96.0,0.96,9.6,46.08,0.899,78.76,315.02,1,2,,BC_POW_DSS,6.58,3.03,2.87,0.0,13.5,0.06,30,5882.5,117.65,6000.15,788.47,577636.65,7167.92,0.08,8.0,8.0
282,Conifex Green Energy,BC_CGE00_GEN,Conifex Green Energy,BC_CGE_GEN,Conifex Power Inc.,BC,Mackenzie,55.337,-123.182284,685,British Columbia.a,British Columbia,Parsnip,138,2014,2014,2034,,biomass,biomass,36.0,36.0,0.96,34.56,34.56,0.6976,220.0,220.0,1,1,,BC_PRS_DSS,6.58,3.03,2.87,0.0,13.5,0.06,30,5882.5,117.65,6000.15,788.47,577636.65,7167.92,0.08,8.0,8.0
471,Tolko Armstrong,BC_TKA00_GEN,Tolko Armstrong,BC_TKA_GEN,Tolko Industries Ltd.,BC,Armstrong,50.392242,-119.225901,435,British Columbia.a,British Columbia,Tolko Armstrong GS,138,2009,2019,2049,,biomass,biomass,20.4,20.4,0.96,19.58,19.58,0.7096,126.8,126.8,1,1,,BC_RVG_GSS,6.58,3.03,2.87,0.0,13.5,0.06,30,5882.5,117.65,6000.15,788.47,577636.65,7167.92,0.08,8.0,8.0
408,150 Mile House,BC_OFM00_GEN,150 Mile House,BC_OFM_GEN,EnPower Green Energy Generation Limited Partnership,BC,150 Mile House,52.128747,-121.928813,861,British Columbia.a,British Columbia,Soda Creek,69,2008,2008,2028,,biomass,biomass,6.0,6.0,0.96,5.76,5.76,0.6469,34.0,34.0,1,1,Energy recovery generator,BC_SCK_DSS,6.58,3.03,2.87,0.0,13.5,0.06,30,5882.5,117.65,6000.15,788.47,577636.65,7167.92,0.08,8.0,8.0
443,Kruger Products Paper Mill,BC_SCP00_GEN,Kruger Products Paper Mill,BC_SCP_GEN,Kruger Energy,BC,New Westminster,49.20135,-122.93658,12,British Columbia.a,British Columbia,Kruger Products,69,2009,2009,2039,,biomass,biomass,14.0,14.0,0.96,13.44,13.44,0.2119,25.99,25.99,1,1,,BC_SCP_ISS,6.58,3.03,2.87,0.0,13.5,0.06,30,5882.5,117.65,6000.15,788.47,577636.65,7167.92,0.08,8.0,8.0
470,Savona,BC_SVA00_GEN,Savona,BC_SVA_GEN,EnPower Green Energy Generation Limited Partnership,BC,Savona,50.74875,-120.855051,504,British Columbia.a,British Columbia,Savona,138,2008,2008,2028,,biomass,biomass,6.0,6.0,0.96,5.76,5.76,0.7801,41.0,41.0,1,1,Energy recovery generator,BC_SVA_DSS,6.58,3.03,2.87,0.0,13.5,0.06,30,5882.5,117.65,6000.15,788.47,577636.65,7167.92,0.08,8.0,8.0
403,Nechako Lumber,BC_NCK00_GEN,Nechako Lumber,BC_NCK_GEN,Nechako Lumber Co. Ltd,BC,Vanderhoof,54.014717,-124.051327,728,British Columbia.a,British Columbia,Tachick,69,1999,1999,2029,,biomass,biomass,1.8,1.8,0.96,1.73,1.73,0.2118,3.34,3.34,1,1,,BC_TAC_DSS,6.58,3.03,2.87,0.0,13.5,0.06,30,5882.5,117.65,6000.15,788.47,577636.65,7167.92,0.08,8.0,8.0
362,Kamloops Green Energy,BC_KGE03_GEN,Kamloops Green Energy,BC_KGE_GEN,Domtar Inc.,BC,Kamloops,50.689371,-120.405337,416,British Columbia.a,British Columbia,Domtar Kamloops,138,2012,2012,2042,,biomass,biomass,76.0,76.0,0.96,72.96,72.96,0.433,288.3,288.3,1,1,,BC_WEY_ISS,6.58,3.03,2.87,0.0,13.5,0.06,30,5882.5,117.65,6000.15,788.47,577636.65,7167.92,0.08,8.0,8.0
499,Squamish Power Project,BC_WFR00_GEN,Squamish Power Project,BC_WFR_GEN,Woodfibre LNG Limited,BC,Squamish,49.676098,-123.261383,292,British Columbia.a,British Columbia,Woodfibre,138,2013,2013,2043,,biomass,biomass,1.6,1.6,0.96,1.54,1.54,0.8019,11.24,11.24,1,1,,BC_WFR_DSS,6.58,3.03,2.87,0.0,13.5,0.06,30,5882.5,117.65,6000.15,788.47,577636.65,7167.92,0.08,8.0,8.0
