Month,Mean Monthly Inflow,Maximum Monthly Inflow,Minimum Monthly Inflow
October,12,159,1
November,17,204,1
December,12,132,1
January,13,183,1
February,10,114,1
March,10,125,2
April,12,146,3
May,16,69,3
June,12,87,2
July,5,49,1
August,2,37,1
September,3,84,1
