Month,Mean Monthly Inflow,Maximum Monthly Inflow,Minimum Monthly Inflow
October,143,325,70
November,100,189,25
December,66,143,27
January,47,98,13
February,44,137,9
March,48,110,1
April,125,254,34
May,454,699,253
June,700,1116,421
July,554,904,299
August,339,824,213
September,200,524,123
