Month,Mean Monthly Inflow,Maximum Monthly Inflow,Minimum Monthly Inflow
October,38,284,16
November,36,236,9
December,29,71,1
January,24,58,6
February,19,43,2
March,21,72,1
April,53,368,1
May,183,671,24
June,290,766,110
July,257,942,104
August,169,447,55
September,87,509,29
