Month,Mean Monthly Inflow,Maximum Monthly Inflow,Minimum Monthly Inflow
October,10,57,2
November,10,57,1
December,7,72,0
January,5,24,0
February,4,13,0
March,5,30,0
April,8,53,2
May,32,143,4
June,63,211,6
July,47,125,7
August,25,99,6
September,13,76,3
