Month,Mean Monthly Inflow,Maximum Monthly Inflow,Minimum Monthly Inflow
October,80,1093,1
November,116,1414,5
December,89,1221,2
January,86,911,2
February,68,870,1
March,63,866,9
April,67,612,10
May,106,572,24
June,114,493,23
July,72,435,15
August,36,424,1
September,32,501,1
