Month,Mean Monthly Inflow,Maximum Monthly Inflow,Minimum Monthly Inflow
October,26,386,2
November,12,143,1
December,7,141,1
January,7,42,1
February,7,81,1
March,7,140,1
April,11,75,1
May,39,191,1
June,101,367,16
July,123,305,50
August,104,393,32
September,55,220,9
