Month,Mean Monthly Inflow,Maximum Monthly Inflow,Minimum Monthly Inflow
October,31,394,4
November,25,283,1
December,19,204,1
January,16,115,1
February,14,139,1
March,14,62,1
April,21,158,1
May,78,326,7
June,159,591,35
July,128,419,23
August,73,429,3
September,38,156,6
