Month,Mean Monthly Inflow,Maximum Monthly Inflow,Minimum Monthly Inflow
October,12,49,1
November,11,53,1
December,9,60,1
January,8,30,1
February,7,27,1
March,7,25,1
April,8,29,1
May,20,74,1
June,47,117,4
July,41,118,9
August,24,109,2
September,15,63,1
