cluster_id,lcoe,capex,fom,vom,CF_mean,Cluster_No,potential_capacity,Region,nearest_station,nearest_station_distance_km,Rank,Operational_life
Capital_1,2.7604912419136642,1735,0.09052719999999999,0,0.21868964831506893,1,0,Capital,138_GTP_DSS,3.363644686258678,1,20
GreaterVancouver_1,3.8567267827471605,1735,0.09052719999999999,0,0.15776777534252887,1,0,Greater Vancouver,230_ARN_DSS,2.6777782328376394,2,20
MountWaddington_1,7.277596123571346,1735,0.09052719999999999,0,0.33999862910042916,1,1098.9201904394238,Mount Waddington,138_CSS_GSS,4.530539262644622,3,20
Nanaimo_1,7.4795256033790425,1735,0.09052719999999999,0,0.13277040107180213,1,0,Nanaimo,138_JPT_DSS,1.4869883327975573,4,20
Alberni-Clayoquot_1,7.950015311953543,1735,0.09052719999999999,0,0.2956614748246188,1,0,Alberni-Clayoquot,69_LBH_DSS,17.637622572782547,5,20
Comox-Strathcona_1,8.638976458442977,1735,0.09052719999999999,0,0.271763803439515,1,0.8,Comox-Strathcona,138_CMH_ISS,24.35873352983459,6,20
