name,x,y,type,v_nom
138_GLD_DSS,-126.064258,49.789185,138kV,138
138_LDY_JCT,-123.815206,48.983384,138kV,138
138_LDY_DSS,-123.815206,48.983384,138kV,138
138_KTS_TSS,-126.875338,50.519786,138kV,138
138_PML_JCT,-127.078809,50.572446,138kV,138
138_KGH_DSS,-127.291702,50.604167,138kV,138
138_PML_DSS,-127.078809,50.572446,138kV,138
138_GCL_DSS,-124.962048,49.317582,138kV,138
138_MRH_JCT,-127.431582,50.523425,138kV,138
138_JUL_DSS,-127.495281,50.440537,138kV,138
138_MRH_ISS,-127.431582,50.523425,138kV,138
138_CMH_JCT,-126.419183,49.800891,138kV,138
138_MBF_JCT,-126.460726,49.792171,138kV,138
138_TSV_DSS,-126.651101,49.92329,138kV,138
138_ZBT_TSS,-126.659707,49.923849,138kV,138
138_ZBL_GSS,-126.780072,50.053298,138kV,138
138_CMH_ISS,-126.419183,49.800891,138kV,138
138_MBF_ISS,-126.460726,49.792171,138kV,138
138_GRP_ISS,-126.125794,49.684001,138kV,138
138_PHY_DSS,-127.49836,50.713864,138kV,138
138_MHY_JCT,-123.886247,49.037555,138kV,138
138_MHY_DSS,-123.886247,49.037555,138kV,138
138_CFT_GSS,-123.650029,48.875707,138kV,138
138_CSS_GSS,-128.031932,50.771305,138kV,138
138_ASH_GSS,-125.150629,49.373363,138kV,138
138_JOR_GSS,-124.052642,48.429466,138kV,138
138_SOO_JCT,-123.698909,48.39095,138kV,138
138_CLD_DSS,-123.509949,48.441961,138kV,138
138_SOO_DSS,-123.698909,48.39095,138kV,138
138_BVC_JCT,-126.881714,50.520473,138kV,138
138_WOS_JCT,-126.594515,50.217612,138kV,138
138_BVC_DSS,-126.881714,50.520473,138kV,138
138_KKS_GSS,-126.8757,50.520247,138kV,138
138_WOS_DSS,-126.594515,50.217612,138kV,138
138_LU2_JCT,-119.014352,50.228009,138kV,138
138_TIL_JCT,-119.093948,50.232926,138kV,138
138_MON_DSS,-118.147711,49.920452,138kV,138
