name,f_nom,r_per_length,x_per_length,c_per_length,i_nom,mounting,cross_section
780,60,0.09259999999999999,0.4336,8.85,0.09259999999999999,ol,322.2
925,60,0.0681,0.4336,8.85,0.0681,ol,443.5
735,60,0.1055,0.4336,8.85,0.1055,ol,281.8
530,60,0.1732,0.4336,8.85,0.1732,ol,170.6
684,60,0.1226,0.4336,8.85,0.1226,ol,241.9
642,60,0.1226,0.4336,8.85,0.1226,ol,241.9
915,60,0.0746,0.4336,8.85,0.0746,ol,402.9
440,60,0.218,0.4336,8.85,0.218,ol,135.3
689,60,0.1226,0.4336,8.85,0.1226,ol,241.9
601,60,0.1467,0.4336,8.85,0.1467,ol,201.6
590,60,0.1467,0.4336,8.85,0.1467,ol,201.6
1275,60,0.0433,0.4336,8.85,0.0433,ol,725.4
1091,60,0.054299999999999994,0.4336,8.85,0.054299999999999994,ol,564.2
488,60,0.218,0.4336,8.85,0.218,ol,135.3
805,60,0.09259999999999999,0.4336,8.85,0.09259999999999999,ol,322.2
1375,60,0.0395,0.4336,8.85,0.0395,ol,806.2
810,60,0.0825,0.4336,8.85,0.0825,ol,362.8
645,60,0.1226,0.4336,8.85,0.1226,ol,241.9
1667,60,0.0395,0.4336,8.85,0.0395,ol,806.2
1355,60,0.041299999999999996,0.4336,8.85,0.041299999999999996,ol,765.8
1529,60,0.0395,0.4336,8.85,0.0395,ol,806.2
730,60,0.1055,0.4336,8.85,0.1055,ol,281.8
571,60,0.1467,0.4336,8.85,0.1467,ol,201.6
635,60,0.1226,0.4336,8.85,0.1226,ol,241.9
1185,60,0.048100000000000004,0.4336,8.85,0.048100000000000004,ol,644.5
830,60,0.0825,0.4336,8.85,0.0825,ol,362.8
815,60,0.0825,0.4336,8.85,0.0825,ol,362.8
781,60,0.09259999999999999,0.4336,8.85,0.09259999999999999,ol,322.2
1350,60,0.041299999999999996,0.4336,8.85,0.041299999999999996,ol,765.8
1050,60,0.0582,0.4336,8.85,0.0582,ol,524.1
565,60,0.1467,0.4336,8.85,0.1467,ol,201.6
580,60,0.1467,0.4336,8.85,0.1467,ol,201.6
272,60,0.4395,0.4336,8.85,0.4395,ol,67.5
630,60,0.1467,0.4336,8.85,0.1467,ol,201.6
1090,60,0.054299999999999994,0.4336,8.85,0.054299999999999994,ol,564.2
1361,60,0.0395,0.4336,8.85,0.0395,ol,806.2
1033,60,0.0627,0.4336,8.85,0.0627,ol,483.6
1007,60,0.0627,0.4336,8.85,0.0627,ol,483.6
625,60,0.1467,0.4336,8.85,0.1467,ol,201.6
728,60,0.1055,0.4336,8.85,0.1055,ol,281.8
866,60,0.0825,0.4336,8.85,0.0825,ol,362.8
912,60,0.0746,0.4336,8.85,0.0746,ol,402.9
