asset_id,p_min,max_spill,min_water_discharge,max_water_discharge,cascade_group,cascade_order,upper_reservoir_id,lower_reservoir_id,sources,,,,,Notes
BC_GMS_GSS,,9200,0,1968.02,Peace,1,BC_GMS_RES,BC_PCN_RES,,,,,,
BC_PCN_GSS,,10280,283,1982,Peace,2,BC_PCN_RES,BC_STC_RES,,,,,,
BC_STC_GSS,,10280,0,793,Peace,3,BC_STC_RES,,Copied from CODERS,,,,,
BC_MCA_GSS,,4290,0,1590,Mica/Columbia,1,BC_MCA_RES,BC_REV_RES,,,,,,
BC_REV_GSS,,7110,0,2055,Mica/Columbia,2,BC_REV_RES,BC_ALH_RES,,,,,,
BC_WHN_GSS,,11,0,4.33,Mica/Columbia,2,BC_WHN_RES,BC_ALH_RES,,,,,,
BC_WGS_GSS,15,257,0,34.4,Mica/Columbia,2,BC_WGS_RES,BC_ALH_RES,,,,,,
BC_ALH_GSS,,10500,0,530,Mica/Columbia,3,BC_ALH_RES,,From CODERS,,,,,
BC_LAJ_DFS,,127,0,50.6,Bridge,1,BC_LAJ_RES,BC_BR1_RES,,,,,,
BC_BR1_GSS,80,1171.2,0,260,Bridge,2,BC_BR1_RES,BC_SON_RES,Asset ID modified to align with CODERS naming update 2024-10-01,,,,,
BC_BR2_GSS,80,1171.2,0,380,Bridge,2,BC_BR1_RES,BC_SON_RES,Asset ID modified to align with CODERS naming update 2024-10-01,,,,,
BC_WDN_GSS,,1000,0,43,Bridge,2,BC_WDN_RES,BC_SON_RES,Spill value imputed to ensure can spill easily. See hydro doc for reasoning.,,,,,
BC_SON_GSS,5,410.4,0,142.76,Bridge,3,BC_SON_RES,,,,,,,
BC_ALU_GSS,,3,0,24,Stave,1,BC_ALU_RES,BC_SFL_RES,,,,,,
BC_SFL_GSS,,1450,0,297,Stave,2,BC_SFL_RES,BC_RUS_RES,,,,,,
BC_RUS_GSS,,4430,0,348,Stave,3,BC_RUS_RES,,,,,,,
BC_SCA_GSS,,577,0,197.4,Campbell,1,BC_SCA_RES,BC_LDR_RES,,,,,,
BC_LDR_GSS,,1266,0,167.9,Campbell,2,BC_LDR_RES,BC_JHT_RES,,,,,,
BC_JHT_GSS,,1238,0,124,Campbell,3,BC_JHT_RES,,,,,,,
BC_SEV_GSS,,2000,0,1473,Seven Mile,1,BC_SEV_RES,,Temporarily removed BC_WAN_RES as downstream since it run as RoR,,,,,
BC_WAN_GSS,,,0,838,Seven Mile,2,BC_WAN_RES,,,,,,,
