component,asset_id,longitude,latitude,inside_bc
reservoir,BC_REV_RES,-118.193945,51.048563,True
reservoir,BC_WHN_RES,-118.06001,50.813937,True
reservoir,BC_WGS_RES,-118.071814,49.910565,True
reservoir,BC_ALH_RES,-117.768849,49.343024,True
reservoir,BC_LAJ_RES,-122.85589,50.83972,True
reservoir,BC_BR1_RES,-122.240038,50.72985,True
reservoir,BC_WDN_RES,-121.98331,50.660512,True
reservoir,BC_SON_RES,-121.924124,50.672742,True
reservoir,BC_ALU_RES,-122.312429,49.371009,True
reservoir,BC_SFL_RES,-122.356118,49.228836,True
reservoir,BC_RUS_RES,-122.408341,49.194973,True
reservoir,BC_SCA_RES,-125.585578,49.998082,True
reservoir,BC_LDR_RES,-125.393017,50.017315,True
reservoir,BC_JHT_RES,-125.310893,50.044,True
reservoir,BC_SEV_RES,-117.504098,49.030161,True
reservoir,BC_WAN_RES,-117.612867,49.004148,True
reservoir,BC_DUN_RES,-116.946367,50.251708,True
