Generator,bus,control,p_nom,carrier,marginal_cost,p_nom_opt,type,p_nom_extendable,p_nom_min,p_nom_max,p_min_pu,p_max_pu,p_set,q_set,sign,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down
BC_BNF_DSS RoR Generator,CentralKootenay,PQ,16.0,,2.19,16.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_BOX_GSS RoR Generator,SunshineCoast,PQ,15.0,,2.19,15.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_BRC_DSS RoR Generator,Comox-Strathcona,PQ,4.0,,2.19,4.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_BRD_GSS RoR Generator,CentralKootenay,PQ,38.0,,1.86,38.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_BRL_GSS RoR Generator,Skeena-QueenCharlotte,PQ,7.0,,1.86,7.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_BRX_GSS RoR Generator,CentralKootenay,PQ,128.0,,1.86,128.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_BSV_GSS RoR Generator,FraserValley,PQ,41.0,,2.19,41.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_CCK_DSS RoR Generator,Alberni-Clayoquot,PQ,6.0,,2.19,6.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_CMS_DFS RoR Generator,Squamish-Lillooet,PQ,90.0,,1.86,90.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_CNK_GSS RoR Generator,Alberni-Clayoquot,PQ,6.0,,2.19,6.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_COM_GSS RoR Generator,SunshineCoast,PQ,45.0,,1.86,45.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_COR_GSS RoR Generator,CentralKootenay,PQ,17.0,,1.86,17.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_CRC_GSS RoR Generator,Columbia-Shuswap,PQ,12.0,,2.19,12.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_CSC_DSS RoR Generator,Fraser-FortGeorge,PQ,6.0,,2.19,6.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_CTN_GSS RoR Generator,Squamish-Lillooet,PQ,15.0,,2.19,15.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
