Line,type,bus0,bus1,length,v_nom,s_nom,x,r,g,b,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,capital_cost,build_year,lifetime,carrier,terrain_factor,num_parallel,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt
MSA_DSS_DMR_DSS_2,1260,SunshineCoast,Nanaimo,68.572,500,1091.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKY_DSS_MSA_DSS_2,3238,Squamish-Lillooet,SunshineCoast,80.364,500,2804.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBN_DSS_ING_DSS,2495,FraserValley,GreaterVancouver,49.717,500,2161.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCH_GSS_CBN_DSS,2500,Thompson-Nicola,FraserValley,130.0,500,2165.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLY_DSS_CKY_DSS,2150,Thompson-Nicola,Squamish-Lillooet,196.893,500,1862.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKY_DSS_MDN_DSS,2150,Squamish-Lillooet,GreaterVancouver,66.723,500,1862.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ING_DSS_BCUS1_INT_1,2500,GreaterVancouver,500_BCUS1_INT,21.794,500,777.7778,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ING_DSS_BCUS1_INT_2,2500,GreaterVancouver,500_BCUS1_INT,21.801,500,777.7778,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSN_DSS_GLN_DSS,2000,Fraser-FortGeorge,Bulkley-Nechako,174.722,500,1732.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TKW_DSS_SKA_DSS,2000,Bulkley-Nechako,Kitimat-Stikine,142.789,500,1732.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCA_GSS_NIC_DSS_1,2265,Columbia-Shuswap,Thompson-Nicola,285.302,500,1962.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCA_GSS_NIC_DSS_2,2265,Columbia-Shuswap,Thompson-Nicola,285.255,500,1962.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REV_GSS_ACK_DSS_1,2870,Columbia-Shuswap,NorthOkanagan,83.696,500,2485.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACK_DSS_NIC_DSS_1,2265,NorthOkanagan,Thompson-Nicola,117.776,500,1962.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REV_GSS_ACK_DSS_2,2265,Columbia-Shuswap,NorthOkanagan,83.732,500,1962.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACK_DSS_NIC_DSS_2,3501,NorthOkanagan,Thompson-Nicola,117.739,500,3032.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIC_DSS_ING_DSS,2153,Thompson-Nicola,GreaterVancouver,263.934,500,1865.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIC_DSS_MDN_DSS_1,2265,Thompson-Nicola,GreaterVancouver,248.189,500,1962.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIC_DSS_MDN_DSS_2,3721,Thompson-Nicola,GreaterVancouver,248.221,500,3222.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEL_TSS_ACK_DSS,2369,KootenayBoundary,NorthOkanagan,223.062,500,2052.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEL_TSS_CBK_DSS,2870,KootenayBoundary,EastKootenay,179.853,500,2485.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBK_DSS_BCAB2_IPT,2052,EastKootenay,500_BCAB2_IPT,108.16,500,1777.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAS_DSS_SEL_TSS,3506,Okanagan-Similkameen,KootenayBoundary,162.873,500,3036.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIC_DSS_VAS_DSS,3506,Thompson-Nicola,Okanagan-Similkameen,139.111,500,3036.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SFL_GSS_MRG_JCT,400,FraserValley,GreaterVancouver,19.8,69,48.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
